learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),F1 Score for class 0 (percent),F1 Score for class 1 (percent),Recall for class 0 (percent),Recall for class 1 (percent),GMean (percent),model training instances,model serialized size (bytes),ensemble size,size of class 0,size of class 1,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
5000.0,0.233326,4.203099144829644E-9,5000.0,100.0,?,?,?,100.0,?,100.0,?,?,5000.0,69632.0,10.0,0.9999999999999994,8.156750926714144E-230,5.7,2.2135943621178655,1554.4,81.15170977866086,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
10000.0,0.392166,7.06441879272461E-9,10000.0,100.0,?,?,?,100.0,?,100.0,?,?,10000.0,69632.0,10.0,0.9999999999999994,2.5E-323,5.7,2.2135943621178655,1554.4,81.15170977866086,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
15000.0,0.507591,9.143667221069336E-9,15000.0,100.0,?,?,?,100.0,?,100.0,?,?,15000.0,69632.0,10.0,0.9999999999999994,2.5E-323,5.7,2.2135943621178655,1554.4,81.15170977866086,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
20000.0,0.599624,1.0801535712348092E-8,20000.0,100.0,?,?,?,100.0,?,100.0,?,?,20000.0,69632.0,10.0,0.9999999999999994,2.5E-323,5.7,2.2135943621178655,1554.4,81.15170977866086,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
25000.0,0.692684,1.2477904425726998E-8,25000.0,100.0,?,?,?,100.0,?,100.0,?,?,25000.0,69632.0,10.0,0.9999999999999994,2.5E-323,5.7,2.2135943621178655,1554.4,81.15170977866086,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
30000.0,0.751937,1.354527897304959E-8,30000.0,100.0,?,?,?,100.0,?,100.0,?,?,30000.0,69632.0,10.0,0.9999999999999994,2.5E-323,5.7,2.2135943621178655,1554.4,81.15170977866086,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
35000.0,0.80765,1.4548884497748484E-8,35000.0,100.0,?,?,?,100.0,?,100.0,?,?,35000.0,69632.0,10.0,0.9999999999999994,2.5E-323,5.7,2.2135943621178655,1554.4,81.15170977866086,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
40000.0,0.851444,1.533778296576606E-8,40000.0,100.0,?,?,?,100.0,?,100.0,?,?,40000.0,69632.0,10.0,0.9999999999999994,2.5E-323,5.7,2.2135943621178655,1554.4,81.15170977866086,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
45000.0,0.894656,1.6116197374131945E-8,45000.0,100.0,?,?,?,100.0,?,100.0,?,?,45000.0,69632.0,10.0,0.9999999999999994,2.5E-323,5.7,2.2135943621178655,1554.4,81.15170977866086,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
50000.0,1.03504,1.9158436788452998E-8,50000.0,76.75999999999999,44.51334382454525,19.13709116214333,-18.69254341164458,83.83416805787424,58.677098150782356,74.93160905247451,84.26966292134831,63.08749320860332,50000.0,83768.0,10.0,0.6061344562931551,0.393865543706845,1868.5,49.74434641243164,2968.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
55000.0,1.292845,2.972655479071869E-8,55000.0,73.6,40.657159913713706,7.949790794979093,-34.62519122896479,81.0698408145705,56.39246778989098,70.3196915039184,87.04742478327384,62.723025335037896,55000.0,158456.0,10.0,0.9961847957552049,0.003815204244795117,3718.1,44.74731525155697,10151.199999999999,896.0035714214536,5.200000000000001,0.632455532033676,3.1000000000000005,0.316227766016838,3.1000000000000005,0.316227766016838,2.1000000000000005,0.316227766016838,0.0,0.0,0.0,0.0,1.0,0.0
60000.0,1.377143,3.318215577345755E-8,60000.0,61.980000000000004,0.0,-Infinity,-Infinity,76.52796641560687,?,61.980000000000004,?,?,60000.0,158456.0,10.0,0.9999999999999994,6.2239341518672674E-232,3718.2000000000003,44.830049446028234,10151.199999999999,896.0035714214536,5.200000000000001,0.632455532033676,3.1000000000000005,0.316227766016838,3.1000000000000005,0.316227766016838,2.1000000000000005,0.316227766016838,0.0,0.0,0.0,0.0,1.0,0.0
65000.0,1.477281,3.728708081568281E-8,65000.0,61.660000000000004,0.0,-Infinity,-Infinity,76.28355808486948,?,61.660000000000004,?,?,65000.0,158456.0,10.0,0.9999999999999994,2.5E-323,3718.2000000000003,44.830049446028234,10151.199999999999,896.0035714214536,5.200000000000001,0.632455532033676,3.1000000000000005,0.316227766016838,3.1000000000000005,0.316227766016838,2.1000000000000005,0.316227766016838,0.0,0.0,0.0,0.0,1.0,0.0
70000.0,1.56343,4.081855925006999E-8,70000.0,61.81333333333333,0.0,-Infinity,-Infinity,76.40079103493737,?,61.81333333333333,?,?,70000.0,158456.0,10.0,0.9999999999999994,2.5E-323,3718.2000000000003,44.830049446028234,10151.199999999999,896.0035714214536,5.200000000000001,0.632455532033676,3.1000000000000005,0.316227766016838,3.1000000000000005,0.316227766016838,2.1000000000000005,0.316227766016838,0.0,0.0,0.0,0.0,1.0,0.0
75000.0,1.66288,4.489528132809533E-8,75000.0,61.809999999999995,0.0,-Infinity,-Infinity,76.39824485507694,?,61.809999999999995,?,?,75000.0,158456.0,10.0,0.9999999999999994,2.5E-323,3718.2000000000003,44.830049446028234,10151.199999999999,896.0035714214536,5.200000000000001,0.632455532033676,3.1000000000000005,0.316227766016838,3.1000000000000005,0.316227766016838,2.1000000000000005,0.316227766016838,0.0,0.0,0.0,0.0,1.0,0.0
80000.0,1.743374,4.819494615412421E-8,80000.0,61.788,0.0,-Infinity,-Infinity,76.38143743664548,?,61.788,?,?,80000.0,158456.0,10.0,0.9999999999999994,2.5E-323,3718.2000000000003,44.830049446028234,10151.199999999999,896.0035714214536,5.200000000000001,0.632455532033676,3.1000000000000005,0.316227766016838,3.1000000000000005,0.316227766016838,2.1000000000000005,0.316227766016838,0.0,0.0,0.0,0.0,1.0,0.0
85000.0,1.811451,5.098560486609737E-8,85000.0,61.81333333333333,0.0,-Infinity,-Infinity,76.40079103493737,?,61.81333333333333,?,?,85000.0,158456.0,10.0,0.9999999999999994,2.5E-323,3718.2000000000003,44.830049446028234,10151.199999999999,896.0035714214536,5.200000000000001,0.632455532033676,3.1000000000000005,0.316227766016838,3.1000000000000005,0.316227766016838,2.1000000000000005,0.316227766016838,0.0,0.0,0.0,0.0,1.0,0.0
90000.0,1.869804,5.3377650752663614E-8,90000.0,62.03142857142857,0.0,-Infinity,-Infinity,76.56715628361341,?,62.03142857142857,?,?,90000.0,158456.0,10.0,0.9999999999999994,2.5E-323,3718.2000000000003,44.830049446028234,10151.199999999999,896.0035714214536,5.200000000000001,0.632455532033676,3.1000000000000005,0.316227766016838,3.1000000000000005,0.316227766016838,2.1000000000000005,0.316227766016838,0.0,0.0,0.0,0.0,1.0,0.0
95000.0,1.929108,5.580868067840735E-8,95000.0,62.212500000000006,0.0,-Infinity,-Infinity,76.70493950836095,?,62.212500000000006,?,?,95000.0,158456.0,10.0,0.9999999999999994,2.5E-323,3718.2000000000003,44.830049446028234,10151.199999999999,896.0035714214536,5.200000000000001,0.632455532033676,3.1000000000000005,0.316227766016838,3.1000000000000005,0.316227766016838,2.1000000000000005,0.316227766016838,0.0,0.0,0.0,0.0,1.0,0.0
100000.0,1.986835,5.817506514696611E-8,100000.0,62.26888888888888,0.0,-Infinity,-Infinity,76.74778488380055,?,62.26888888888888,?,?,100000.0,158456.0,10.0,0.9999999999999994,2.5E-323,3718.2000000000003,44.830049446028234,10151.199999999999,896.0035714214536,5.200000000000001,0.632455532033676,3.1000000000000005,0.316227766016838,3.1000000000000005,0.316227766016838,2.1000000000000005,0.316227766016838,0.0,0.0,0.0,0.0,1.0,0.0
