learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),F1 Score for class 0 (percent),F1 Score for class 1 (percent),Recall for class 0 (percent),Recall for class 1 (percent),GMean (percent),model training instances,model serialized size (bytes)
5000.0,1.357773,1.0808397960104048E-6,5000.0,71.61999999999999,23.670281435579625,-58.90257558790598,-185.51307847082487,81.81468665897732,35.411925352753755,70.88607594936708,78.26961770623743,61.06465705619015,5000.0,3077064.0
10000.0,3.5022,4.488396027684211E-6,10000.0,71.5,27.119756407119578,-56.250000000000014,-179.96070726915522,81.43322475570032,38.70967741935484,69.58361166778,88.40864440078585,62.847485245745084,10000.0,6142344.0
15000.0,5.883712,1.0147337966495091E-5,15000.0,72.36666666666667,28.709071783514993,-51.222181685516254,-172.33902759526927,82.05083791625168,39.98841754741566,70.29232823861106,90.73587385019711,63.44844404885123,15000.0,9185120.0
20000.0,9.802936,2.2508377651605343E-5,20000.0,72.75500000000001,29.698894779926842,-48.55507088331514,-165.80487804878038,82.29637090223854,40.90662617937318,70.55710306406685,92.0,63.74894176848485,20000.0,1.2191504E7
25000.0,13.901136,3.869036363585128E-5,25000.0,72.324,29.27953328801226,-52.602558447287194,-174.34575733544816,81.97285115030876,40.450985454858426,69.9839843402438,93.18001586042823,63.86783231813023,25000.0,1.526304E7
30000.0,19.141337,6.343375766159139E-5,30000.0,71.96666666666667,28.767632784797797,-57.07881957415017,-182.87924655230415,81.72136492066943,39.885632594710515,69.56006956006956,93.84460141271444,63.91491824542687,30000.0,1.8252136E7
35000.0,25.425782,9.81844295117052E-5,35000.0,71.84857142857143,28.723344457139298,-57.698463508322654,-183.8663209449726,81.62268022008764,39.86573085138846,69.39960036791526,94.09392106021319,63.93229258913847,35000.0,2.1374632E7
40000.0,32.160861,1.406451858968805E-4,40000.0,72.14,29.099762944828374,-56.91354548014643,-182.12658227848095,81.84602352327892,40.13108413022456,69.68377253814147,94.55696202531647,64.07822066885478,40000.0,2.4369544E7
45000.0,40.167549,1.97357899181373E-4,45000.0,72.11999999999999,29.093304605427363,-58.04988662131522,-184.1032608695654,81.8342407042743,40.07451280091708,69.63088902030357,94.99547101449275,64.1534020989527,45000.0,2.7379776E7
50000.0,49.771669,2.7324119683495206E-4,50000.0,74.32,30.393525947385285,-44.594594594594625,-155.7768924302788,83.57636224098236,41.15490375802016,72.63228101378391,89.44223107569721,63.65424418086376,50000.0,3.0541544E7
55000.0,60.108896,3.6291065832984326E-4,55000.0,74.22999999999999,30.177920855088264,-46.08843537414968,-160.56622851365023,83.52617784312471,40.853798485196236,72.50027743868604,89.98988877654196,63.73581532686862,55000.0,3.353072E7
60000.0,71.488585,4.7039120418177296E-4,60000.0,75.18,31.963495153125443,-47.73809523809519,-170.37037037037038,84.22925403482019,41.76442984514313,72.97951992953095,96.94989106753813,65.17848782325905,60000.0,3.650916E7
65000.0,84.902033,6.07418105500237E-4,65000.0,75.42999999999999,33.436511706938155,-37.72421524663678,-153.82231404958682,84.30533375918237,43.45224395857307,73.06244464127548,97.52066115702479,65.30373377501095,65000.0,3.948824E7
70000.0,98.538137,7.580420168462851E-4,70000.0,73.71333333333332,31.80023442869454,-46.03703703703701,-165.8799730276467,82.97422168487414,42.36222774448181,71.08086113782645,97.70734996628457,64.95925859800722,70000.0,4.2697848E7
75000.0,112.971569,9.291368753113308E-4,75000.0,73.05,31.155954115890466,-49.22480620155038,-170.85427135678378,82.45442708333334,41.918103448275865,70.32204330927263,97.73869346733667,64.8191207855771,75000.0,4.5821544E7
80000.0,131.118846,0.001158215685316912,80000.0,72.868,30.87585217447878,-49.60299955888843,-172.62861736334392,82.32074438970992,41.69173901830998,70.1492537313433,97.46784565916398,64.73351129641186,80000.0,4.8795056E7
85000.0,148.295053,0.0013883542790878811,85000.0,73.00666666666666,31.02955348713488,-49.134438305709,-171.38069705093827,82.42774064751323,41.807990801954595,70.30278353568255,97.48659517426273,64.76676978010121,85000.0,5.1792224E7
90000.0,168.449303,0.0016740749903343243,90000.0,72.7942857142857,30.79270710671241,-50.33154404799497,-172.21269296741008,82.26088900480643,41.66156108320059,70.08443908323281,97.19839908519154,64.6689334550262,90000.0,5.4799608E7
95000.0,189.537341,0.0019893092930905643,95000.0,73.015,31.034324128709322,-48.35074216602535,-169.04287138584266,82.42820863449893,41.880249838466504,70.34844948316106,96.93419740777667,64.66889648257069,95000.0,5.7782944E7
100000.0,210.120413,0.002313054412622315,100000.0,73.22666666666666,31.159942400161615,-47.99164721778652,-168.62876254180603,82.6041756908949,41.91495516343651,70.60348019252129,96.92307692307692,64.7160252788284,100000.0,6.0798856E7
