learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),F1 Score for class 0 (percent),F1 Score for class 1 (percent),Recall for class 0 (percent),Recall for class 1 (percent),GMean (percent),model training instances,model serialized size (bytes)
5000.0,1.096723,8.760118613536986E-7,5000.0,68.06,19.006862862440478,-81.47727272727269,-225.91836734693888,79.17047084909352,31.54736390912987,67.29490022172949,75.10204081632654,59.66509470328025,5000.0,3087560.0
10000.0,2.907273,3.7497866663564414E-6,10000.0,67.39,20.75515164416659,-86.13013698630132,-231.06598984771557,78.42825957531255,33.21728445627687,65.75707154742096,82.33502538071066,60.8465481617757,10000.0,6135424.0
15000.0,4.84631,8.347569095395091E-6,15000.0,67.67999999999999,22.197906571625694,-82.39277652370203,-227.3463875759622,78.54867256637169,34.486486486486484,65.65574376803018,86.1580013504389,61.60636028821802,15000.0,9165680.0
20000.0,7.356149,1.624746356211189E-5,20000.0,67.46,22.189870680234627,-82.65506595565533,-227.36418511066384,78.34564450655486,34.56665996380455,65.36198090162114,86.46881287726357,61.609819383537534,20000.0,1.216684E7
25000.0,10.894685,3.019874069523894E-5,25000.0,66.62,21.812124111669572,-87.52808988764039,-235.40996784565897,77.62314643498779,34.32753600377745,64.29459843638948,87.66077170418006,61.63508946626296,25000.0,1.5240272E7
30000.0,16.338764,5.591382782392411E-5,30000.0,66.12,21.721308481058795,-88.78157503714709,-238.01130695044912,77.16673406119425,34.36652460286711,63.627607157411184,88.49351513136016,61.6686959260473,30000.0,1.8258536E7
35000.0,23.789924,9.710376071043519E-5,35000.0,65.40857142857142,21.150776454910464,-93.03252551020407,-246.80607275852196,76.57722145911123,33.88127355141718,62.81062553556127,88.8570610140361,61.576717708399606,35000.0,2.136828E7
40000.0,33.176173,1.5633033318499103E-4,40000.0,65.07,21.10318304385658,-93.62527716186256,-248.0817140009964,76.25909060014952,33.93228674106298,62.357583504696265,89.38714499252616,61.59235514599649,40000.0,2.4390848E7
45000.0,42.426206,2.218211707915076E-4,45000.0,65.03777777777778,21.166966864317768,-93.42267027292841,-247.9982304799821,76.22012968365048,34.00310415705357,62.28908816917414,89.64830789648308,61.63144409829637,45000.0,2.7367784E7
50000.0,53.489713,3.092023560718571E-4,50000.0,64.972,21.23010961096951,-93.46073124930965,-248.67608998606414,76.15131131022088,34.06370002258866,62.16955332725615,90.06569779016525,61.691825049479085,50000.0,3.0530048E7
55000.0,66.55527,4.2250415977949896E-4,55000.0,62.92,19.42000484001524,-97.02444208289052,-254.49330783938805,74.34975096845601,33.116883116883116,60.031277926720286,87.59541984732824,60.75086373337595,55000.0,3.352056E7
60000.0,79.781582,5.475325238497886E-4,60000.0,61.85000000000001,18.226100993916198,-109.38529088913276,-279.60199004975107,73.53084021369598,31.716484696617147,58.917055814987776,88.07157057654076,60.61943302100584,60000.0,3.6540304E7
65000.0,95.751319,7.108410456884943E-4,65000.0,62.27333333333333,18.66571335108759,-106.0065526028394,-275.016567263088,73.8843509160552,32.07298043452167,59.34025203854707,88.47682119205298,60.79002246063906,65000.0,3.9528784E7
70000.0,111.711514,8.870945020427286E-4,70000.0,62.934999999999995,18.985894431134305,-106.20305980528516,-275.34177215189874,74.51088264621946,32.09672987084364,60.11429205503773,88.66396761133603,60.98734698000352,70000.0,4.2687608E7
75000.0,129.904537,0.001102740589554786,75000.0,63.21600000000001,19.423604341648268,-104.49188347787405,-270.20933977455707,74.71681513251951,32.52127971822718,60.35087719298245,89.17505030181087,61.14039734389885,75000.0,4.5818312E7
80000.0,148.955169,0.001343449718029495,80000.0,62.99666666666667,19.588958399944147,-106.37664993493212,-273.5195154777928,74.49042902773627,32.65182309045683,59.96965996965997,90.5146316851665,61.33601952662613,80000.0,4.8841112E7
85000.0,168.661178,0.001607652320827662,85000.0,63.142857142857146,19.936472933903147,-105.25059665871117,-269.31004866876606,74.57627118644068,33.021806853582554,60.05205357709643,91.01316542644533,61.45429582290032,85000.0,5.1825176E7
90000.0,192.202444,0.0019414754834887532,90000.0,63.2575,19.93765367447683,-105.17939410861372,-269.54991199396534,74.69219775110638,32.97304692844438,60.20765088001777,90.87481146304675,61.45780307313802,90000.0,5.4813688E7
95000.0,215.366875,0.0022878401959192402,95000.0,63.33777777777778,20.00519786809827,-105.04598558289835,-269.9932720340883,74.7659834811869,32.98943948009748,60.2886038480513,91.05381165919283,61.510652635792304,95000.0,5.7798208E7
100000.0,240.553445,0.002683889856730441,100000.0,63.327999999999996,20.071506011498048,-104.43750696844691,-269.3051359516615,74.74519310230842,33.070521243977225,60.252253852644664,91.22029802658075,61.537092854477905,100000.0,6.078312E7
