learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),F1 Score for class 0 (percent),F1 Score for class 1 (percent),Recall for class 0 (percent),Recall for class 1 (percent),GMean (percent),model training instances,model serialized size (bytes),tree size (nodes),tree size (leaves),active learning leaves,tree depth,active leaf byte size estimate,inactive leaf byte size estimate,byte size estimate overhead
5000.0,0.346314,9.862252076466879E-10,5000.0,90.12,0.2842906983410674,41.745283018867916,-0.20283975659226972,94.80218855218855,0.4032258064516129,99.95562458398048,0.2028397565922921,50.03960040322384,5000.0,11008.0,5.0,3.0,3.0,2.0,0.0,0.0,1.0
10000.0,0.517248,1.855074465274811E-9,10000.0,89.63,0.2652540302648874,42.707182320441994,-0.19323671497582406,94.53030223113032,0.3842459173871277,99.9553820412716,0.1932367149758454,50.03714089460135,10000.0,19648.0,9.0,5.0,5.0,3.0,0.0,0.0,1.0
15000.0,0.633948,2.7090997497240703E-9,15000.0,89.70666666666666,0.4072466370674389,43.3186490455213,-0.5208333333332757,94.5721718343528,0.6435006435006436,99.90344622697563,0.32552083333333337,50.057209036338854,15000.0,28288.0,13.0,7.0,7.0,4.0,0.0,0.0,1.0
20000.0,0.753007,3.874596286978986E-9,20000.0,89.78,0.5018910482078096,43.37950138504157,-0.5905511811022971,94.61254612546125,0.7766990291262136,99.8886910062333,0.39370078740157477,50.070548177954585,20000.0,37840.0,17.0,9.0,9.0,6.0,0.0,0.0,1.0
25000.0,0.878257,5.230047818687227E-9,25000.0,89.872,0.3916982381447014,43.58288770053475,-0.5559968228753025,94.66408159824665,0.6279434850863422,99.90214393737212,0.3177124702144559,50.054933924535995,25000.0,41832.0,19.0,10.0,10.0,7.0,0.0,0.0,1.0
30000.0,1.000753,6.747862613863414E-9,30000.0,89.98666666666666,0.5771182760947166,43.74531835205996,-0.5691329092734557,94.72704932420572,0.8580858085808579,99.88894236108541,0.43521928356210243,50.080974841911654,30000.0,47896.0,21.0,11.0,11.0,7.0,0.0,0.0,1.0
35000.0,1.12639,8.598678240345584E-9,35000.0,90.17714285714285,4.151238305782008,45.06232023010545,1.37693631669536,94.82135325661264,4.8172757475083055,99.87624547820016,2.495697074010327,50.58951041278481,35000.0,56944.0,25.0,13.0,13.0,9.0,0.0,0.0,1.0
40000.0,1.23366,1.0327665685779519E-8,40000.0,90.3625,7.286309975896846,45.962994112699754,3.262233375156814,94.91418092586973,8.236134253749107,99.88060530334583,4.341279799247177,51.04456021521613,40000.0,62304.0,29.0,15.0,15.0,10.0,0.0,0.0,1.0
45000.0,1.335415,1.2183619416836235E-8,45000.0,90.67555555555555,12.446490440614623,47.81094527363182,6.171735241502673,95.07095197819754,13.875205254515599,99.84701934465062,7.55813953488372,51.818230112464846,45000.0,70504.0,33.0,17.0,17.0,10.0,0.0,0.0,1.0
50000.0,1.430588,1.4211431592702865E-8,50000.0,90.986,18.13621633736507,49.52967525195968,9.261123414535923,95.22366231811871,20.074481291009047,99.76461705860147,11.395208375276827,52.71618001948697,50000.0,82360.0,39.0,20.0,20.0,11.0,0.0,0.0,1.0
55000.0,1.54699,1.698546700593498E-8,55000.0,92.67999999999999,49.163051594780036,60.47516198704101,27.952755905511783,96.03295035768483,52.71317829457365,98.61976847729296,40.15748031496063,58.901877897112406,55000.0,92120.0,41.0,21.0,21.0,12.0,0.0,0.0,1.0
60000.0,1.649426,1.9341658697360094E-8,60000.0,93.30000000000001,51.934051797300604,62.48600223964168,32.117527862208775,96.37955257754241,55.15394912985274,98.94596693664707,41.742654508611956,59.30611718980998,60000.0,88912.0,49.0,25.0,25.0,13.0,0.0,0.0,1.0
