learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),F1 Score for class 0 (percent),F1 Score for class 1 (percent),Recall for class 0 (percent),Recall for class 1 (percent),GMean (percent),model training instances,model serialized size (bytes),ensemble size,size of class 0,size of class 1,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
5000.0,0.879127,7.520863097574976E-8,5000.0,76.9,47.47610640331293,25.579896907216504,-15.731462925851694,83.50706839925746,61.46146146146146,73.06346826586707,92.28456913827655,64.2938638993146,5000.0,330688.0,10.0,0.8995918331015761,0.100408166898424,7857.7,80.2344481296323,26642.4,3321.2710819805116,14.8,2.3944379994757297,7.8999999999999995,1.1972189997378644,7.8999999999999995,1.1972189997378644,4.8,0.6324555320336758,0.0,0.0,0.0,0.0,1.0,0.0
10000.0,1.655858,1.843243433576491E-7,10000.0,78.2,50.17149462978998,30.92522179974652,-7.86739238000991,84.45965212432279,63.49631614199599,74.24489284371475,93.8149430974765,64.81894706434053,10000.0,543024.0,10.0,0.8710086035789131,0.12899139642108692,15759.9,78.35311806884985,47182.4,4478.086575511664,24.999999999999996,3.1269438398822866,12.999999999999998,1.5634719199411433,12.999999999999998,1.5634719199411433,7.4,0.5163977794943222,0.0,0.0,0.0,0.0,1.0,0.0
15000.0,2.279701,2.9818208533856604E-7,15000.0,79.10666666666667,51.96060413919126,34.40770196735036,-2.6867627785058747,85.14269460510097,64.81024028744667,75.1590224305323,94.56094364351245,65.13830786757605,15000.0,705488.0,10.0,0.9681872004826609,0.03181279951733906,23701.600000000002,102.43935875542275,62821.6,6939.079721243861,34.0,4.83045891539648,17.5,2.41522945769824,17.5,2.41522945769824,8.9,0.7378647873726218,0.0,0.0,0.0,0.0,1.0,0.0
20000.0,2.910542,4.494349350904425E-7,20000.0,80.455,54.26715841463226,38.94095595126524,3.409933283914018,86.23252210051773,66.32204704057895,76.73791763304708,95.10748702742772,65.5449091578581,20000.0,926800.0,10.0,0.7006355661286012,0.2993644338713988,31645.399999999998,102.97917804639522,84126.40000000001,5721.398803323071,46.0,3.4318767136623336,23.5,1.7159383568311668,23.5,1.7159383568311668,10.3,0.9486832980505138,0.0,0.0,0.0,0.0,1.0,0.0
25000.0,3.425166,5.986691766025291E-7,25000.0,81.672,56.32406326477929,42.480542304795385,8.706913727834253,87.21468831966068,67.6458127383138,78.21430358840898,95.43733811516239,65.88847427729135,25000.0,1120936.0,10.0,0.6244994922144829,0.3755005077855171,39513.100000000006,111.66064660389544,102865.6,8988.468899404143,56.599999999999994,7.5306779981029015,28.799999999999997,3.7653389990514508,28.799999999999997,3.7653389990514508,11.299999999999999,1.3374935098492584,0.0,0.0,0.0,0.0,1.0,0.0
30000.0,3.952744,7.737475181081228E-7,30000.0,82.48666666666666,58.00423887020541,45.38461538461537,13.314634548754297,87.81426848501715,68.88178156834873,79.08016207861648,95.94126381785185,66.14783176651906,30000.0,1282768.0,10.0,0.8713493429206928,0.12865065707930723,47389.100000000006,130.3401106507286,118550.4,10406.882372310698,64.0,7.845734863959878,32.50000000000001,3.9228674319799386,32.50000000000001,3.9228674319799386,12.4,1.2649110640673513,0.0,0.0,0.0,0.0,1.0,0.0
35000.0,4.432577,9.533870403054687E-7,35000.0,83.04571428571428,59.05299839284055,46.91358024691358,15.817846503050106,88.2467120900016,69.58794587945877,79.70018961754499,96.31153355085827,66.33470493798914,35000.0,1447152.0,10.0,0.8500279618960737,0.14997203810392631,55328.3,137.3115273950282,134405.6,9897.746401187605,72.60000000000001,6.850790708621401,36.800000000000004,3.4253953543107003,36.800000000000004,3.4253953543107003,13.2,1.2292725943057181,0.0,0.0,0.0,0.0,1.0,0.0
40000.0,4.813173,1.1097453973773453E-6,40000.0,83.49499999999999,59.917204195000316,48.34115805946791,17.875357631546205,88.59009367114861,70.17797452344385,80.19148337035762,96.62893394700833,66.48691926186797,40000.0,1588032.0,10.0,0.8590093178576171,0.14099068214238286,63212.80000000001,169.65376506284835,148055.19999999998,9923.533743357535,79.0,6.394442031083626,40.0,3.197221015541813,40.0,3.197221015541813,13.6,1.0749676997731399,0.0,0.0,0.0,0.0,1.0,0.0
45000.0,5.191232,1.2783573765369753E-6,45000.0,83.83111111111111,60.577816750511914,49.48976049982645,19.495463598141207,88.84391291015025,70.63761097659402,80.56281630610088,96.83558309360478,66.59549523047818,45000.0,1723976.0,10.0,0.7441955835563974,0.25580441644360274,71118.8,146.98510884515562,161137.6,11010.077194199059,86.60000000000001,6.380525927469545,43.800000000000004,3.1902629637347726,43.800000000000004,3.1902629637347726,14.1,1.1972189997378646,0.0,0.0,0.0,0.0,1.0,0.0
50000.0,5.559505,1.4593347091103595E-6,50000.0,86.42,63.13264169662388,55.53372626064177,30.07209062821833,91.07166337935568,71.64926931106473,85.97318768619662,88.27160493827161,66.00090768778642,50000.0,1899576.0,10.0,0.9011040630205164,0.0988959369794835,79005.8,195.96246806184345,178055.19999999998,11229.615733012022,95.60000000000001,7.662317607037119,48.300000000000004,3.8311588035185595,48.300000000000004,3.8311588035185595,15.000000000000002,1.1547005383792517,0.0,0.0,0.0,0.0,1.0,0.0
55000.0,5.943496,1.5006413492498299E-6,55000.0,84.58,59.39068541359771,50.37013196009011,20.638188368502323,89.73642172523961,69.01125401929261,83.6767626613704,88.3230452674897,65.57434862979198,55000.0,415816.0,10.0,0.7069481757501177,0.29305182424988224,86877.00000000001,222.48595461287312,34877.6,58569.5343847332,110.4,6.60302960768767,55.7,3.301514803843835,55.7,3.301514803843835,4.6000000000000005,4.4522154285504,0.0,0.0,0.0,0.0,1.0,0.0
60000.0,6.160696,1.5256242312925558E-6,60000.0,84.2,61.66088538701248,48.966408268733844,20.44310171198387,89.08236594803759,71.41823444283646,80.43424007986025,99.39577039274926,67.05035616471577,60000.0,444616.0,10.0,0.5057380787702188,0.4942619212297812,94797.1,212.30347775452645,37642.399999999994,4956.916676053102,122.39999999999999,6.397916327472046,61.699999999999996,3.198958163736023,61.699999999999996,3.198958163736023,6.1,0.8755950357709134,0.0,0.0,0.0,0.0,1.0,0.0
65000.0,6.388786,1.5625881332096954E-6,65000.0,85.44,64.19367777408623,54.50000000000001,27.813584531482423,89.99175144349739,73.29420396184886,81.99924840285607,99.05800694100148,67.27875878460034,65000.0,626432.0,10.0,0.9420390875402277,0.057960912459772175,102731.0,202.2281439914415,55210.40000000001,5383.263677567932,131.4,6.850790708621401,66.2,3.4253953543107016,66.2,3.4253953543107016,7.2,1.1352924243950933,0.0,0.0,0.0,0.0,1.0,0.0
70000.0,6.713645,1.6323672515940334E-6,70000.0,85.68,64.55216245011228,55.29656607700313,28.637873754152825,90.1899890390939,73.49457058242842,82.35195996663887,98.93687707641196,67.32177156073858,70000.0,830296.0,10.0,0.7531026804252668,0.24689731957473326,110682.4,210.48578732699863,74848.79999999999,6676.364626218541,142.39999999999998,8.64355893779357,71.69999999999999,4.321779468896785,71.69999999999999,4.321779468896785,9.2,1.1352924243950935,0.0,0.0,0.0,0.0,1.0,0.0
75000.0,6.977267,1.6978384835314418E-6,75000.0,86.13499999999999,65.59247694956524,57.1671300586963,31.63214990138064,90.50635078229313,74.30265962376052,82.90265930757653,98.84122287968442,67.4062093184413,75000.0,960000.0,10.0,0.9683818273630548,0.03161817263694517,118605.40000000001,232.48713226040422,87429.59999999999,7662.9338622865425,148.2,6.124631508189786,74.6,3.062315754094893,74.6,3.062315754094893,10.100000000000001,1.2866839377079187,0.0,0.0,0.0,0.0,1.0,0.0
80000.0,7.26254,1.7779395895492698E-6,80000.0,86.47200000000001,66.26398890333817,57.88818328975221,33.1752618059672,90.75905787201486,74.76496045366363,83.29404684287076,98.9922940130409,67.50672945268339,80000.0,1085376.0,10.0,0.5564275440207375,0.4435724559792626,126539.8,258.7125388878122,99571.2,6899.285837437571,154.0,5.18544972870135,77.5,2.592724864350675,77.5,2.592724864350675,10.8,1.1352924243950935,0.0,0.0,0.0,0.0,1.0,0.0
85000.0,7.5325,1.8629228484920328E-6,85000.0,86.65,66.52633898767314,58.28125000000001,33.60411140583555,90.90702690430241,74.89815104982763,83.52803738317756,99.0550397877984,67.56165280152936,85000.0,1216848.0,10.0,0.8667426028464533,0.13325739715354656,134448.5,264.8233163618493,112235.2,9222.96511492433,161.2,6.562519841239848,81.1,3.281259920619924,81.1,3.281259920619924,11.600000000000001,1.3498971154211057,0.0,0.0,0.0,0.0,1.0,0.0
90000.0,7.799653,1.954746497625278E-6,90000.0,86.74285714285715,66.7657298946418,58.887116781853635,34.22171817408562,90.96819402810759,75.08858584773972,83.61482859801045,99.1352424156507,67.59254230565328,90000.0,1328608.0,10.0,0.6856659957283389,0.3143340042716613,142419.7,270.4835382134112,123093.6,8885.403801241175,165.8,7.899367063252596,83.4,3.949683531626298,83.4,3.949683531626298,12.000000000000002,1.2472191289246468,0.0,0.0,0.0,0.0,1.0,0.0
95000.0,8.211026,2.107118812288261E-6,95000.0,86.75500000000001,66.70545322162525,58.622305529522045,33.89893948845915,90.99071523313948,75.00235915825233,83.64545880881663,99.16406737367436,67.60353655366171,95000.0,1431768.0,10.0,0.6965816037782793,0.3034183962217205,150321.3,294.75566152324075,133068.0,10078.49530215476,170.79999999999998,8.715248450592538,85.89999999999999,4.357624225296269,85.89999999999999,4.357624225296269,12.400000000000002,1.5055453054181616,0.0,0.0,0.0,0.0,1.0,0.0
100000.0,8.606537,2.2627590755042104E-6,100000.0,86.85555555555555,66.88659515927814,58.88363686917836,34.27047449716635,91.06886711259418,75.11673888351353,83.76711758006722,99.21102344704967,67.634706517275,100000.0,1521128.0,10.0,0.7947968141846316,0.20520318581536842,158196.5,312.0737982522079,141772.8,11226.234797710822,174.2,7.671013260609344,87.6,3.835506630304672,87.6,3.835506630304672,12.6,1.837873166945363,0.0,0.0,0.0,0.0,1.0,0.0
