learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),F1 Score for class 0 (percent),F1 Score for class 1 (percent),Recall for class 0 (percent),Recall for class 1 (percent),GMean (percent),model training instances,model serialized size (bytes),ensemble size,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
5000.0,0.622664,2.8638090673420165E-8,5000.0,81.46,28.469440478240806,42.49379652605459,9.384164222873897,89.11332941867293,37.57575757575757,95.39854161428212,27.27272727272727,55.378531238876626,5000.0,177784.0,10.0,4983.3,68.98478093028926,12095.2,1322.4002419842489,5.400000000000001,0.8432740427115677,3.2000000000000006,0.42163702135578385,3.2000000000000006,0.42163702135578385,2.2000000000000006,0.42163702135578385,0.0,0.0,0.0,0.0,1.0,0.0
10000.0,1.182412,7.459874000814226E-8,10000.0,82.42,33.001726177368894,44.261255548509844,11.524911927528954,89.63198867657466,42.24704336399475,94.8333957319356,32.36034222445898,56.39010062865525,10000.0,317392.0,10.0,9980.100000000002,62.197624106105835,25525.6,3157.090193340838,13.200000000000001,2.394437999475729,7.1000000000000005,1.1972189997378646,7.1000000000000005,1.1972189997378646,4.300000000000001,0.4830458915396479,0.0,0.0,0.0,0.0,1.0,0.0
15000.0,1.666465,1.2835927393701342E-7,15000.0,84.67333333333333,46.39149551637963,51.96406184705392,23.9497188223619,90.75109627066823,55.298463931557464,94.17216331301661,47.039364869335095,59.41622846124442,15000.0,429312.0,10.0,15012.599999999999,85.42599136094356,36338.399999999994,5193.61803241889,18.8,2.898275349237887,9.9,1.4491376746189435,9.9,1.4491376746189435,5.3999999999999995,0.5163977794943223,0.0,0.0,0.0,0.0,1.0,0.0
20000.0,2.058731,1.8328322383264702E-7,20000.0,85.82,51.07564996628685,55.50674615625979,28.94011525933348,91.40710216943401,59.46255002858777,94.22200012492972,52.11726384364821,60.485383351802014,20000.0,541232.0,10.0,20015.699999999997,77.68747932868267,47161.600000000006,3689.1014021785254,24.200000000000003,2.6997942308422123,12.600000000000001,1.3498971154211061,12.600000000000001,1.3498971154211061,6.4,0.5163977794943223,0.0,0.0,0.0,0.0,1.0,0.0
25000.0,2.447938,2.4896007677954103E-7,25000.0,86.488,53.74971159974101,57.59477780567411,32.22311396468698,91.79260411098691,61.79597376159241,94.37450039968026,54.81540930979133,61.07166071703626,25000.0,652280.0,10.0,24972.3,79.35580914113629,57899.200000000004,5681.4498306134665,29.599999999999998,3.893013685508382,15.299999999999999,1.946506842754191,15.299999999999999,1.946506842754191,7.3,0.6749485577105528,0.0,0.0,0.0,0.0,1.0,0.0
30000.0,2.819999,3.2070049045814406E-7,30000.0,87.06666666666666,56.42241603065673,59.50318338378041,35.45167193478625,92.10772547902852,64.20003690717844,94.3807578473467,57.87722508733988,61.69643079925422,30000.0,745336.0,10.0,29947.7,105.47885517433784,66919.20000000001,7417.999922111383,33.8,5.094659513211412,17.4,2.547329756605706,17.4,2.547329756605706,7.8999999999999995,1.1005049346146119,0.0,0.0,0.0,0.0,1.0,0.0
35000.0,3.206779,4.0274830483727986E-7,35000.0,87.57428571428572,58.60712169073844,61.19043369623416,38.13655761024182,92.39139942966112,66.13192118993848,94.4047193421523,60.39829302987197,62.20992934653283,35000.0,819984.0,10.0,34964.7,95.31357604128526,74166.40000000001,6647.505049097577,37.0,3.7712361663282534,19.0,1.8856180831641267,19.0,1.8856180831641267,8.200000000000001,1.0327955589886446,0.0,0.0,0.0,0.0,1.0,0.0
40000.0,3.575874,4.866362020828658E-7,40000.0,87.8475,59.504771597498205,61.760541220893636,38.96283274736315,92.55851690828652,66.88015261974519,94.36571357223123,61.627322953289806,62.448586158039056,40000.0,878544.0,10.0,39927.5,131.33946686185203,79888.0,6838.840187569167,39.0,4.320493798938574,20.0,2.160246899469287,20.0,2.160246899469287,8.3,1.1595018087284057,0.0,0.0,0.0,0.0,1.0,0.0
45000.0,3.947446,5.756003770273593E-7,45000.0,88.15555555555555,60.57804845571074,62.75852431525992,40.393647953477945,92.74435066702968,67.77509068923821,94.4727938321593,62.68172668306866,62.68064304775996,45000.0,925496.0,10.0,44919.2,112.1752597005638,84459.2,7057.661885418491,40.8,4.8488257455915145,20.9,2.4244128727957572,20.9,2.4244128727957572,8.6,1.1737877907772671,0.0,0.0,0.0,0.0,1.0,0.0
50000.0,4.485512,7.322115564263529E-7,50000.0,88.178,60.64797912360314,62.95437452995738,40.610871094142475,92.75852352775429,67.82779077994884,94.53392264089695,62.60423992766,62.67738080211971,50000.0,1125096.0,10.0,49915.3,145.87365156950807,103652.8,8632.179341150055,50.2,5.094659513211415,25.6,2.5473297566057074,25.6,2.5473297566057074,8.899999999999999,1.1972189997378648,0.0,0.0,0.0,0.0,1.0,0.0
55000.0,5.03041,9.069726921038495E-7,55000.0,89.02,60.064734410843535,65.18706404565631,44.03669724770643,93.44164377015889,66.29834254143647,97.31276436924608,55.04587155963303,61.716820221249066,55000.0,1239744.0,10.0,54895.799999999996,133.27815524933845,114677.59999999999,15277.077114276657,58.7,5.657836257007719,29.400000000000002,3.657564459825388,29.400000000000002,3.657564459825388,9.600000000000001,1.7126976771553504,0.0,0.0,0.0,0.0,1.0,0.0
