learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),F1 Score for class 0 (percent),F1 Score for class 1 (percent),Recall for class 0 (percent),Recall for class 1 (percent),GMean (percent),model training instances,model serialized size (bytes),ensemble size,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
5000.0,0.600989,2.6314050133029617E-8,5000.0,80.08,0.5595819828338674,35.82474226804123,0.20040080160318433,88.9284126278346,0.796812749003984,99.95002498750625,0.4008016032064128,50.08762985775845,5000.0,169248.0,10.0,4983.3,68.98478093028926,11255.2,819.2914011510189,5.200000000000001,0.632455532033676,3.1000000000000005,0.316227766016838,3.1000000000000005,0.316227766016838,2.1000000000000005,0.316227766016838,0.0,0.0,0.0,0.0,1.0,0.0
10000.0,1.188431,6.975970987230539E-8,10000.0,80.22,6.6676040800129215,37.325728770595695,2.1276595744680713,88.89637363871113,9.515096065873744,99.23549316957012,5.145967342899555,51.083622745570246,10000.0,285880.0,10.0,9980.100000000002,62.197624106105835,22484.800000000003,1841.0014665936583,11.6,1.3498971154211057,6.3,0.6749485577105528,6.3,0.6749485577105528,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
15000.0,1.636157,1.1540112191190323E-7,15000.0,80.84666666666666,18.95258187227941,39.870238593553786,5.865006553079956,88.99950223992036,26.010816379088332,97.2715098761299,16.546526867627783,53.34276819395429,15000.0,394048.0,10.0,15012.599999999999,85.42599136094356,32922.399999999994,3150.2037747139825,17.2,2.573367875415838,9.1,1.286683937707919,9.1,1.286683937707919,5.3999999999999995,0.6992058987801009,0.0,0.0,0.0,0.0,1.0,0.0
20000.0,2.050373,1.6810055696715912E-7,20000.0,82.435,30.70630610486318,45.12652296157453,13.19495922905859,89.73857163721337,39.0633130962706,96.28909922898514,27.82307882382011,55.7028226512816,20000.0,491792.0,10.0,20015.699999999997,77.68747932868267,42436.799999999996,4034.773649165465,21.0,2.494438257849294,11.0,1.247219128924647,11.0,1.247219128924647,6.300000000000001,0.6749485577105531,0.0,0.0,0.0,0.0,1.0,0.0
25000.0,2.4457,2.2629951620474457E-7,25000.0,83.66799999999999,38.04820886583754,48.74466482550841,18.64913329348477,90.36005194191948,46.592544146500984,95.77098243331164,35.48515640565849,57.2835357757729,25000.0,569064.0,10.0,24972.3,79.35580914113629,49934.4,4098.139718891433,24.4,2.5033311140691454,12.7,1.2516655570345727,12.7,1.2516655570345727,7.3999999999999995,0.8432740427115677,0.0,0.0,0.0,0.0,1.0,0.0
30000.0,2.873918,2.9995512396304145E-7,30000.0,84.42,42.72390921908716,51.41372141372139,22.884012539184912,90.7291336083783,51.23121869782972,95.53866076277204,40.50486718363307,58.318849428466336,30000.0,664880.0,10.0,29947.7,105.47885517433784,59188.0,4615.138375197674,29.2,2.898275349237888,15.1,1.449137674618944,15.1,1.449137674618944,8.3,0.48304589153964794,0.0,0.0,0.0,0.0,1.0,0.0
35000.0,3.304269,3.834818179325925E-7,35000.0,85.18,46.23764243137945,53.59634997316156,26.41509433962265,91.14831311114524,54.50399087799315,95.54577653751207,44.07717406724358,59.081077894016886,35000.0,750248.0,10.0,34964.7,95.31357604128526,67427.2,5070.599456123947,33.6,3.8930136855083823,17.3,1.9465068427541912,17.3,1.9465068427541912,9.4,1.1737877907772671,0.0,0.0,0.0,0.0,1.0,0.0
40000.0,3.70565,4.71064223986533E-7,40000.0,85.7725,48.778573743481054,55.469483568075105,29.207612887175006,91.48372615039281,56.8045540796964,95.63843434185414,46.54807811916905,59.620993043772586,40000.0,843456.0,10.0,39927.5,131.33946686185203,76472.8,5137.982933235787,37.599999999999994,3.8930136855083823,19.299999999999997,1.9465068427541912,19.299999999999997,1.9465068427541912,9.9,1.2866839377079187,0.0,0.0,0.0,0.0,1.0,0.0
45000.0,4.106479,5.669710825218095E-7,45000.0,86.1888888888889,50.49494855712254,56.85525859076711,31.23478645718083,91.72271425717518,58.330539725108956,95.7538512874701,48.13011728258464,59.97582191392935,45000.0,924896.0,10.0,44919.2,112.1752597005638,84375.2,8023.092404636341,41.199999999999996,5.692099788303084,21.099999999999998,2.846049894151542,21.099999999999998,2.846049894151542,10.4,1.3498971154211055,0.0,0.0,0.0,0.0,1.0,0.0
50000.0,4.523173,6.754652065121465E-7,50000.0,86.502,51.873343887530154,57.78709031773831,32.77218846498655,91.89825096335066,59.57956519135173,95.78589124396287,49.54676760633529,60.27699786201577,50000.0,1006448.0,10.0,49915.3,145.87365156950807,92272.0,8304.624253992473,44.99999999999999,5.416025603090641,22.999999999999996,2.7080128015453204,22.999999999999996,2.7080128015453204,11.0,1.2472191289246473,0.0,0.0,0.0,0.0,1.0,0.0
55000.0,5.054415,7.669305067136884E-7,55000.0,88.14,57.46039871586357,60.78042328042327,37.18220338983048,92.88371534861395,64.42711457708458,95.41420118343196,56.88559322033898,61.70490142682568,55000.0,665528.0,10.0,54895.799999999996,133.27815524933845,59276.0,45770.135979211984,49.400000000000006,5.4812812776251905,25.200000000000003,2.7406406388125952,25.200000000000003,2.7406406388125952,7.4,4.903513479582211,0.0,0.0,0.0,0.0,1.0,0.0
60000.0,5.407552,8.174274267069995E-7,60000.0,89.0,61.978750269173176,64.07576747224037,43.152454780361765,93.33414131620411,68.55345911949686,95.48667079975202,61.963824289405686,62.73963960072566,60000.0,552744.0,10.0,59897.6,142.66915885673762,48329.600000000006,37515.97908802772,55.0,5.811865258054231,28.0,2.9059326290271157,28.0,2.9059326290271157,6.1,3.8427420765212266,0.0,0.0,0.0,0.0,1.0,0.0
65000.0,5.735035,8.67341112755239E-7,65000.0,89.48666666666666,64.94885897015229,66.71591388771634,47.02720859926102,93.56300257153353,71.33248500272678,95.32562588372286,65.90527376553578,63.48836500675904,65000.0,589160.0,10.0,64919.7,169.8084214637199,51812.8,40513.26208320212,61.2,6.957010852370434,31.1,3.478505426185217,31.1,3.478505426185217,6.4,3.9496835316263,0.0,0.0,0.0,0.0,1.0,0.0
70000.0,5.996657,9.136739061938392E-7,70000.0,89.31,65.04830853430718,66.30417651694248,46.25439919557566,93.4154604250077,71.60690571049136,94.65734614904507,67.7727501256913,63.724033196812094,70000.0,684568.0,10.0,69921.3,163.5019877555015,61016.799999999996,39959.04328962622,66.2,6.268084945889685,33.6,3.1340424729448424,33.6,3.1340424729448424,6.799999999999999,3.6147844564602556,0.0,0.0,0.0,0.0,1.0,0.0
75000.0,6.254778,9.675312245409521E-7,75000.0,89.5,66.14042655065238,67.1710855427714,47.62569832402235,93.50456536263084,72.61917179513925,94.52671602961777,69.4533120510774,64.02734339340795,75000.0,806536.0,10.0,74902.79999999999,168.76992886438492,72776.8,39985.80805124627,72.6,6.310485101972924,36.8,3.155242550986462,36.8,3.155242550986462,7.499999999999999,3.100179206289712,0.0,0.0,0.0,0.0,1.0,0.0
80000.0,6.486153,1.021617899477068E-6,80000.0,89.56666666666668,66.50107064932766,67.23885283650829,47.946116747048094,93.53679689435863,72.9519529899758,94.42197857172636,70.19790454016298,64.15214008742993,80000.0,903600.0,10.0,79908.4,164.31555008580364,82170.40000000001,42066.70547066356,77.19999999999999,5.370702416299422,39.099999999999994,2.685351208149711,39.099999999999994,2.685351208149711,7.9,2.8460498941515415,0.0,0.0,0.0,0.0,1.0,0.0
85000.0,6.752541,1.0900574293629163E-6,85000.0,89.58857142857143,66.47874156117958,67.26259994609649,47.82359679266895,93.55591709697956,72.9110912875409,94.41747572815534,70.2176403207331,64.15510814597862,85000.0,993104.0,10.0,84894.7,178.90844958618806,90836.8,43091.87443075035,81.39999999999999,5.232377832092955,41.199999999999996,2.6161889160464775,41.199999999999996,2.6161889160464775,8.7,2.79085809185793,0.0,0.0,0.0,0.0,1.0,0.0
90000.0,7.012602,1.1626099886393383E-6,90000.0,89.7275,67.01846700967783,67.87082649151617,48.61180590295149,93.63626508076631,73.37178407102584,94.45694288213973,70.79789894947474,64.27574228113092,90000.0,1078400.0,10.0,89911.5,189.59445022351193,99109.59999999999,44660.787362318435,85.2,6.5625198412398476,43.1,3.2812599206199238,43.1,3.2812599206199238,9.299999999999999,2.8303906287138374,0.0,0.0,0.0,0.0,1.0,0.0
95000.0,7.262602,1.2377956600880459E-6,95000.0,89.75999999999999,67.01395508227141,67.83919597989949,48.64021399910831,93.663017767754,73.33950474427215,94.52092816698124,70.64199732501115,64.257864400397,95000.0,1162512.0,10.0,94896.0,216.497882976568,107272.79999999999,46938.73718132794,88.80000000000001,7.800284895082001,44.900000000000006,3.9001424475410005,44.900000000000006,3.9001424475410005,9.7,2.8693785622209798,0.0,0.0,0.0,0.0,1.0,0.0
100000.0,7.507319,1.3144677798222337E-6,100000.0,89.834,67.12479860559785,68.06358381502892,48.945359582161515,93.71654614005811,73.39439937189218,94.66087303965638,70.41984732824427,64.24187115267982,100000.0,1211088.0,10.0,99860.20000000001,231.09247788132856,112027.2,48068.774315326344,90.60000000000001,8.262364471909155,45.800000000000004,4.131182235954578,45.800000000000004,4.131182235954578,9.8,2.7808871486152285,0.0,0.0,0.0,0.0,1.0,0.0
