learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),F1 Score for class 0 (percent),F1 Score for class 1 (percent),Recall for class 0 (percent),Recall for class 1 (percent),GMean (percent),model training instances,model serialized size (bytes),ensemble size,size of class 0,size of class 1
5000.0,0.996893,1.2829856575570174E-7,5000.0,75.84,47.255035004667576,25.062034739454088,-18.08406647116326,82.31850117096019,61.86868686868687,70.70656273573044,95.79667644183773,64.51806707767372,5000.0,497480.0,10.0,0.8408982726538012,0.15910172734619862
10000.0,1.854246,2.8657704904468523E-7,10000.0,78.25,50.795181538406396,31.039949270767274,-9.461499748364389,84.43649373881932,63.90041493775933,73.63035068014476,96.8797181680926,65.28975203817161,10000.0,713616.0,10.0,0.882312967890911,0.117687032109089
15000.0,2.825075,5.424006637330685E-7,15000.0,80.65333333333334,55.09913251276456,39.36481404095279,4.002646377770427,86.32035448288867,66.9701798315502,76.44652250146113,97.32054250744294,65.91036811627289,15000.0,1018592.0,10.0,0.835207393765269,0.164792606234731
20000.0,3.705328,8.143627684128782E-7,20000.0,81.77,56.98197373618531,42.79887041104486,8.644450012528182,87.22763259300777,68.1683254758163,77.76875507527016,97.82009521423201,66.25497156619686,20000.0,1194272.0,10.0,0.8489741149039108,0.1510258850960892
25000.0,4.518539,1.108232596365528E-6,25000.0,82.608,58.500735334900526,45.41802661310572,12.760834670947041,87.88182831661094,69.20679886685552,78.7669864108713,98.03370786516854,66.48321109047754,25000.0,1396864.0,10.0,0.7349670368939495,0.2650329631060505
30000.0,5.26007,1.4084153784790802E-6,30000.0,83.36,60.00794948820296,47.896879240162825,16.95225420063219,88.4417689279926,70.30339083878644,79.61565717620576,98.30311096323408,66.69309712021175,30000.0,1564800.0,10.0,0.7818914127584708,0.21810858724152918
35000.0,5.89719,1.6965596457467311E-6,35000.0,83.93142857142857,61.13734816142381,49.812600392646786,19.99999999999998,88.87041874455791,71.1115677008424,80.27887021809082,98.46372688477952,66.8473255079944,35000.0,1748200.0,10.0,0.8165870784501673,0.18341292154983274
40000.0,6.379615,1.9362885689093835E-6,40000.0,84.28,61.65016883927892,50.534927627438634,21.04470115519841,89.1631049221012,71.3869676010193,80.74666000749158,98.49321948769463,66.94024938241309,40000.0,1920848.0,10.0,0.9398426294102692,0.06015737058973081
45000.0,6.860945,2.1936463669501244E-6,45000.0,84.59333333333333,62.225522718684665,51.55813303521521,22.467009617535197,89.40540044927336,71.772321973861,81.1276277109102,98.56855289644375,67.02540201433968,45000.0,2066792.0,10.0,0.8026430221556197,0.1973569778443803
50000.0,7.674003,2.671322157608552E-6,50000.0,84.17999999999999,57.34399442268682,51.885644768856444,21.760633036597444,89.55499801927903,67.40832303255047,85.00877412885434,80.90999010880317,64.40472890977368,50000.0,2270984.0,10.0,0.7473198450237082,0.2526801549762917
55000.0,8.583155,3.0510958675812516E-6,55000.0,84.28,57.91656815074477,51.19528096864329,21.084337349397604,89.59629384513566,67.85276073619632,84.52797202797203,83.28313253012048,64.77096273757488,55000.0,1614696.0,10.0,0.7626554643683631,0.23734453563163688
60000.0,9.276083,3.363607968516234E-6,60000.0,85.0,62.77300047829249,54.379562043795616,24.16582406471181,89.74569319114028,72.07743857036486,81.82498130142109,97.87664307381193,67.02641725007257,60000.0,1743336.0,10.0,0.5396680576759906,0.4603319423240093
65000.0,9.83345,3.6457844605069194E-6,65000.0,86.08,65.27277957221153,57.93291024478694,30.918114143920604,90.49569848422777,74.00074710496824,82.99311208515967,98.31265508684864,67.32491499660588,65000.0,1956960.0,10.0,0.8041559447966772,0.1958440552033229
70000.0,10.382992,3.950143339391798E-6,70000.0,86.47333333333333,66.16037653277317,58.852159805313335,33.16864295125166,90.7734982492838,74.66600074915719,83.42527582748245,98.48484848484848,67.4370306864728,70000.0,2140856.0,10.0,0.7528697028910284,0.24713029710897164
75000.0,10.923923,4.267729279434102E-6,75000.0,86.85000000000001,67.04433772100595,60.12130401819562,35.44428080510557,91.03429467512102,75.34220888805551,83.83774959186236,98.62542955326461,67.5394660819004,75000.0,2269456.0,10.0,0.8319051953050115,0.16809480469498844
80000.0,11.495309,4.630527784524279E-6,80000.0,87.06,67.38392063381704,60.29700540009819,36.016613924050645,91.20421979934201,75.53135163754632,84.0954673084637,98.75395569620254,67.61091313624344,80000.0,2454360.0,10.0,0.8908562711857696,0.1091437288142304
85000.0,12.014383,4.982059647579574E-6,85000.0,87.21666666666667,67.66831328111162,60.504634397528314,36.590608465608454,91.32568817715048,75.71093799480651,84.28523714094857,98.8260582010582,67.65931113712412,85000.0,2617808.0,10.0,0.7348347824212327,0.2651652175787673
90000.0,12.661366,5.451744595811599E-6,90000.0,87.36857142857143,67.93834049836708,60.81715855712133,37.14813761728746,91.44394341119776,75.87975339625729,84.47757991847243,98.86266704577766,67.7015965403051,90000.0,2806184.0,10.0,0.8780716404920837,0.12192835950791635
95000.0,13.341653,5.973077017685606E-6,95000.0,87.46000000000001,68.09846644920773,61.10120201628539,37.4485596707819,91.51556156968877,75.97701149425288,84.5877239611019,98.91507669285447,67.73160278886739,95000.0,2962272.0,10.0,0.8895945073578085,0.11040549264219139
100000.0,13.916572,6.438831734284759E-6,100000.0,87.52,68.22587530220119,61.27697717713575,37.73835920177382,91.55920281359904,76.06750191766811,84.65536409116176,98.94678492239468,67.74993524232264,100000.0,3131504.0,10.0,0.7800510260697516,0.2199489739302484
