learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),F1 Score for class 0 (percent),F1 Score for class 1 (percent),Recall for class 0 (percent),Recall for class 1 (percent),GMean (percent),model training instances,model serialized size (bytes)
5000.0,0.3383,2.2686393082969717E-7,5000.0,79.97999999999999,51.99188130436282,51.52542372881356,32.45614035087718,85.77518829046468,66.21667229159634,85.8117713960762,66.14969656102495,61.63632613100434,5000.0,2592184.0
10000.0,0.891841,9.694505289217663E-7,10000.0,81.23,56.74704204611517,54.99880124670343,37.182061579651936,86.2521057643009,70.42697337324721,83.9823135073456,74.77417196386752,62.99930266900046,10000.0,5185608.0
15000.0,1.434775,2.0613428692167833E-6,15000.0,82.21333333333334,59.19540933060896,57.291499919961595,40.299843365406154,86.9279764821166,72.1793534932221,84.24501424501425,77.42729306487696,63.57521280143135,15000.0,7773832.0
20000.0,2.104151,3.850758981586745E-6,20000.0,83.3,61.39764027242261,59.88951603218445,43.62869198312235,87.80220582864656,73.52987795213188,85.41281796219981,78.28214647316909,63.971666469494316,20000.0,1.0333408E7
25000.0,2.856334,6.36438748596857E-6,25000.0,84.164,63.18676681224933,61.78202529201662,46.39133378469873,88.48491899595706,74.6526666239836,86.35744294311343,78.93311670728404,64.28268811476335,25000.0,1.2917544E7
30000.0,3.77947,1.0052813758042951E-5,30000.0,84.75,64.60865902882077,63.34428331063218,48.83694922836056,88.893204826297,75.6765378276357,86.94495892102388,79.58179581795818,64.52262291998483,30000.0,1.544464E7
35000.0,4.718855,1.4450799209090572E-5,35000.0,85.19714285714286,65.51928974547651,64.3868572999725,50.22576616389664,89.25036828018341,76.23721506214741,87.46644977633184,79.83669548511048,64.67285853846309,35000.0,1.8097248E7
40000.0,5.773971,2.008005120824195E-5,40000.0,85.52250000000001,66.32513162753581,65.30257639304973,51.58026755852843,89.47339719702616,76.82394845319568,87.77417168943258,80.24412674525541,64.81093627519355,40000.0,2.0623048E7
45000.0,6.965675,2.721565482694656E-5,45000.0,85.81111111111112,66.88321889178842,65.98838757790445,52.46072518799792,89.71107207889521,77.14991232151165,88.17790167257982,80.24865991661704,64.88962967786087,45000.0,2.31454E7
50000.0,8.283324,3.603935010626912E-5,50000.0,85.14,64.03298393208652,63.63191385217818,50.23442732752847,89.51305575158786,74.51114922813036,90.41916167664671,72.73945077026121,63.86677783615436,50000.0,2.5885296E7
55000.0,10.144484,4.971954601195123E-5,55000.0,85.39999999999999,64.63252833576422,64.88696488696488,50.9573396036278,89.70235576244886,74.92270697354861,90.54535098960558,73.26167282499159,63.99355901467686,55000.0,2.84126E7
60000.0,12.032485,6.483548505235878E-5,60000.0,87.46000000000001,70.48722901910281,70.41057102406796,58.088235294117666,90.9641158668396,79.51649787651095,90.06849315068493,81.35026737967914,65.46349374467499,60000.0,3.0948192E7
65000.0,13.858547,8.06397834542104E-5,65000.0,87.58,70.94630821615947,70.59659090909092,58.73754152823921,91.00781928757601,79.92889463477698,89.91416309012875,82.15946843853821,65.58841961975203,65000.0,3.345508E7
70000.0,15.788647,9.865776640360968E-5,70000.0,87.72666666666666,71.18818966803786,70.91627172195892,59.170547793302276,91.13838748495789,80.04336043360432,90.23925269278429,81.88068307828786,65.59724380091593,70000.0,3.6085168E7
75000.0,17.751636,1.1835944193498543E-4,75000.0,87.79,71.43030693630966,71.02171591313635,59.75609756097562,91.16050097734018,80.26507192500404,90.38185472293999,81.83915622940013,65.61650153588275,75000.0,3.8796064E7
80000.0,19.900324,1.4133084642840345E-4,80000.0,87.864,71.53265847356185,71.05238049804406,59.648889479984035,91.23222748815166,80.29358274876593,90.29803786968709,82.20508046282751,65.67022124458592,80000.0,4.1325352E7
85000.0,22.089092,1.6616407530221263E-4,85000.0,87.81666666666666,71.49388899172868,71.0747071858183,59.626643101734224,91.18023213725537,80.30605097257396,90.19429989974698,82.31525461173092,65.67144632781394,85000.0,4.3856688E7
90000.0,24.418833,1.941214887650808E-4,90000.0,87.87428571428572,71.62619889099354,71.22126534210348,59.77632451900294,91.22270019854402,80.39541759053955,90.20409832712994,82.47559473035732,65.70382276882512,90000.0,4.6386512E7
95000.0,26.620871,2.21988210145351E-4,95000.0,87.92999999999999,71.77221580186622,71.42011484046645,59.94358251057827,91.25932362951698,80.50395735745435,90.18499302250689,82.70140214054592,65.7431356042311,95000.0,4.8917408E7
100000.0,29.012426,2.538188981817394E-4,100000.0,87.92222222222222,71.70885602766562,71.27226597600297,59.87152982870645,91.26472620903581,80.43626939275043,90.25940996948117,82.49409332545777,65.71786349519797,100000.0,5.1447944E7
