learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),F1 Score for class 0 (percent),F1 Score for class 1 (percent),Recall for class 0 (percent),Recall for class 1 (percent),GMean (percent),model training instances,model serialized size (bytes)
5000.0,1.749159,1.4224230382032691E-6,5000.0,78.86,58.99231429842173,55.84795321637426,46.58918645780697,79.4157740993184,78.27338129496403,67.67341520079655,95.82284851534978,63.93282875724849,5000.0,3143416.0
10000.0,4.565941,5.974715529198033E-6,10000.0,78.94,59.12567291253298,55.756302521008394,46.73748103186646,79.5613354037267,78.27970297029704,67.88671745611128,95.78495709237758,63.96711548688296,10000.0,6247112.0
15000.0,8.82747,1.6311015688240942E-5,15000.0,78.66,58.60369607306979,55.2182428651371,46.01113172541743,79.27752961740143,78.00453514739229,67.56041046011254,95.60384032339564,63.86788136135176,15000.0,9375664.0
20000.0,15.367628,3.73055852334429E-5,20000.0,78.53999999999999,58.421311848298615,55.085809962327325,45.8900655572365,79.05728505904166,77.99651389316108,67.17247097844113,95.80604534005039,63.8315197058811,20000.0,1.2408552E7
25000.0,25.188137,7.673689952946992E-5,25000.0,78.74,58.79531728991838,55.844479521475456,46.609743847312906,79.21473544249345,78.24307175897499,67.35386047748887,95.92492221218508,63.89029321612046,25000.0,1.552064E7
30000.0,38.241295,1.3972600682482744E-4,30000.0,78.73333333333333,58.83760227613865,55.74668793785115,46.59747216874529,79.13941930421134,78.31112319825945,67.06566916043225,96.34462567963196,63.916018109716475,30000.0,1.8653152E7
35000.0,54.622336,2.3210793317923322E-4,35000.0,78.81714285714285,58.96118757280043,55.84802286803239,46.84542586750787,79.26153846153848,78.35328467153285,67.32560349743395,96.14502722843221,63.927816857348205,35000.0,2.1799568E7
40000.0,75.240243,3.645386836445538E-4,40000.0,79.065,59.40328943888743,56.464777748895244,47.52475247524752,79.537679601212,78.56996621967448,67.71656819505701,96.14806463735438,64.00481091926046,40000.0,2.482828E7
45000.0,99.976243,5.428499533252128E-4,45000.0,79.03333333333333,59.358391765993225,56.35581459894533,47.431468687318926,79.49046801295566,78.55535604700322,67.60834196124833,96.24081087101804,64.00178763758603,45000.0,2.7864528E7
50000.0,128.203068,7.698233075899962E-4,50000.0,79.58,59.95379899991966,57.422852376980806,49.80334316617502,80.35405041370021,78.74245263377055,70.44534412955466,92.87819253438114,63.899048636097824,50000.0,3.1082448E7
55000.0,160.303312,0.0010545017494944567,55000.0,79.33,59.51679941187135,57.00020802995631,48.247371056584875,80.2710699627756,78.29465504567888,70.03664223850767,93.29329329329329,63.90030037718933,55000.0,3.4280616E7
60000.0,195.791778,0.0013967041309930635,60000.0,80.7,61.58572839350482,59.841864336246374,51.21334681496462,82.3357129782171,78.73043861582542,74.44554783184375,90.24759979787773,64.16641403992463,60000.0,3.7273328E7
65000.0,234.096018,0.0017964603111761562,65000.0,77.57,55.95317140700612,53.33888079883502,43.92499999999999,78.71310619720983,76.29715734967768,69.12818803133855,90.2274431392152,63.11807014844357,65000.0,4.0341376E7
70000.0,276.051043,0.002268558192925739,70000.0,77.06,55.12294825405966,52.472375690607734,43.208450239313414,77.89554827519754,76.15880274371233,67.81879194630872,90.6930693069307,62.95074686873052,70000.0,4.3496112E7
75000.0,320.437425,0.002804431834826474,75000.0,77.115,55.268937086546735,52.178455751750086,43.029624097585256,77.97719289804166,76.18254670343966,67.7225240284162,91.1014312383323,63.01268825933959,75000.0,4.6667552E7
80000.0,366.50154,0.003397090351390508,80000.0,76.584,54.323955307399395,50.94687447628623,41.611809295830824,77.3749710133725,75.73572079913787,66.85366993922393,91.11399222100329,62.84259346976127,80000.0,4.9732944E7
85000.0,417.02251,0.0040867016803553535,85000.0,76.30666666666667,53.79799884494998,50.40122810690113,40.7765372437927,77.12409886714728,75.42865044247787,66.57776296049342,90.89394318087145,62.74386546535145,85000.0,5.276368E7
90000.0,470.191483,0.0048541647247908595,90000.0,76.33428571428571,53.79260593330194,50.47533632286994,40.86950314106223,77.21759221057842,75.37972237909818,66.87151636415607,90.5132414876151,62.72654100374322,90000.0,5.5795808E7
95000.0,524.873466,0.005686333318915103,95000.0,76.51,54.11535559291879,51.02423768569194,41.35563600049931,77.40042332114682,75.54653341661462,67.10597656087084,90.58228796105598,62.78699398002878,95000.0,5.8826016E7
100000.0,583.031188,0.006616971200307306,100000.0,76.60444444444444,54.29779393861565,51.21182631261875,41.55981126838745,77.5013890669744,75.63301393325,67.19908093685146,90.69160746003553,62.8272807777177,100000.0,6.1855128E7
