learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),F1 Score for class 0 (percent),F1 Score for class 1 (percent),Recall for class 0 (percent),Recall for class 1 (percent),GMean (percent),model training instances,model serialized size (bytes)
5000.0,0.293276,1.967782759004169E-7,5000.0,72.3,42.17457017126347,42.48338870431893,30.95712861415752,77.01244813278008,65.15723270440252,77.59197324414716,64.42786069651741,59.58603736209193,5000.0,2593600.0
10000.0,0.812501,8.919559292391772E-7,10000.0,73.16,45.676039425432236,43.44711335861779,32.69809428284856,76.25199079808883,69.14233157047597,71.72103861517975,75.32565130260521,60.63140479936634,10000.0,5175384.0
15000.0,1.306742,1.8836245795049603E-6,15000.0,76.03333333333333,51.42272282606481,49.57924263674614,39.569675575727,78.88895413706032,72.28432657466655,74.2456062783243,78.75020997816226,61.84573878944421,15000.0,7755864.0
20000.0,1.915013,3.507481800742034E-6,20000.0,78.995,57.490842165409425,55.85793842597459,47.480935116889626,81.39915873367279,75.87711742750503,76.61915478869717,82.55654129701362,63.08242546179379,20000.0,1.0319368E7
25000.0,2.54723,5.624075712569886E-6,25000.0,81.07600000000001,61.7277296546876,60.350318471337594,52.775004991016175,83.20971004720163,78.32103743756586,78.26812658565898,85.27240071841948,63.94148248673909,25000.0,1.2941176E7
30000.0,3.273011,8.529099419025911E-6,30000.0,82.43333333333334,64.45723806023082,63.270142180094794,56.11990008326395,84.43315413245111,79.84395318595578,79.4618036250417,86.8819710337939,64.48716435439607,30000.0,1.5472E7
35000.0,4.094742,1.2367861331105232E-5,35000.0,83.62571428571428,66.83427424225314,65.73393124065768,58.991055456171715,85.53325760444275,81.13871976304098,80.59559488130917,88.18227341011517,64.95726831760715,35000.0,1.805776E7
40000.0,5.052955,1.748773190226199E-5,40000.0,84.38,68.41237047710032,67.37847856732625,61.083774525070076,86.1334280260997,82.11893995764409,81.05342299820391,89.33931128961953,65.26728397287255,40000.0,2.0653768E7
45000.0,6.215742,2.4462244906475146E-5,45000.0,84.98,69.62774608044393,68.66045347058005,62.57889491750637,86.66416747232799,82.80896304397588,81.54006088958195,90.10849108823203,65.50735683452164,45000.0,2.318548E7
50000.0,7.375294,3.220756768867374E-5,50000.0,86.94,72.94222514521695,72.08208636169302,66.39217704580544,89.01597981497056,83.89642416769419,86.64047151277013,87.41007194244604,65.96410831945207,50000.0,2.5819728E7
55000.0,8.945321,4.3764467858715606E-5,55000.0,84.63000000000001,68.1071420745688,67.56699725680524,60.840764331210195,87.10029374737725,80.98948670377241,85.45783926218708,83.35030549898167,64.9630942845953,55000.0,2.845356E7
60000.0,10.691489,5.7736068486366424E-5,60000.0,84.94,69.07633094978786,69.42752740560293,63.44660194174758,87.03735582716476,82.03292770221904,86.0156515821708,83.4061135371179,65.08105813508426,60000.0,3.092876E7
65000.0,12.188033,7.069442399302499E-5,65000.0,86.72,72.75844349787329,72.85363859362222,66.91579471848529,88.57142857142858,84.15274463007161,85.98162071846282,87.82067247820673,65.91704885624613,65000.0,3.3470544E7
70000.0,13.797266,8.568464823121827E-5,70000.0,87.14,73.7145654900942,73.58981380065717,67.8874646246046,88.85164422354505,84.80743482712452,85.48709964412812,89.61384820239681,66.16285737604689,70000.0,3.6007384E7
75000.0,15.562722,1.0335330382328895E-4,75000.0,87.465,74.4233542708836,74.19985592260987,68.76401694492898,89.08908908908909,85.27286612230512,85.48400567944542,90.41983306341099,66.31437226251494,75000.0,3.8685568E7
80000.0,17.629037,1.2547482324734124E-4,80000.0,87.724,74.96569786707158,74.56067639257294,69.32533733133434,89.30699278770776,85.5908728109301,85.47418967587035,91.09534279432341,66.4397344347104,80000.0,4.1382888E7
85000.0,19.435342,1.459948958843429E-4,85000.0,87.87,75.26718665460255,74.79218620116377,69.64717657853032,89.43349110020617,85.7634677829506,85.50805108273181,91.41784820683904,66.50674764442532,85000.0,4.3912704E7
90000.0,21.592445,1.7191328483900884E-4,90000.0,88.03142857142858,75.60227915964875,75.14684070008899,69.99928382152832,89.57207936073287,85.95661939723088,85.5248146035368,91.80750501289029,66.58309087456573,90000.0,4.6445056E7
95000.0,23.51241,1.9623588368400312E-4,95000.0,88.08749999999999,75.74515256184509,75.36831222538123,70.20757784169062,89.59038776624794,86.0774287801315,85.41970422828578,92.09127852453892,66.6166238173372,95000.0,4.8968752E7
100000.0,25.710069,2.2551477128544204E-4,100000.0,88.26,76.11463211517969,75.75715859030838,70.72319201995015,89.71838935056341,86.31949659476396,85.51606440602508,92.35841737781226,66.68479620270226,100000.0,5.1498744E7
