learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),F1 Score for class 0 (percent),F1 Score for class 1 (percent),Recall for class 0 (percent),Recall for class 1 (percent),GMean (percent),model training instances,model serialized size (bytes),ensemble size,size of class 0,size of class 1,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
5000.0,0.743435,4.365672810624043E-8,5000.0,79.72,59.29920781968988,57.37704918032788,50.02464268112372,81.61711385061639,77.38626226583408,75.79124579124579,85.4679802955665,63.493941854088,5000.0,226992.0,10.0,0.46306320055831024,0.5369367994416897,4983.3,68.98478093028926,16689.600000000002,2448.321837958037,9.0,1.8856180831641267,5.0,0.9428090415820634,5.0,0.9428090415820634,2.9,0.31622776601683794,0.0,0.0,0.0,0.0,1.0,0.0
10000.0,1.36023,1.0785431918791598E-7,10000.0,81.27,62.727290890549895,60.89770354906053,53.1984007996002,82.77067427099624,79.4829663709059,75.02084375521095,90.63202598051461,64.35310204949828,10000.0,402328.0,10.0,0.7217366725303743,0.27826332746962573,9980.100000000002,62.197624106105835,33597.6,4457.5980378076565,18.2,2.859681411936962,9.6,1.429840705968481,9.6,1.429840705968481,4.9,0.31622776601683783,0.0,0.0,0.0,0.0,1.0,0.0
15000.0,1.920332,1.8780019686660833E-7,15000.0,82.66,65.50937529703576,63.59182530795072,56.26366235076509,84.0946615299945,80.94086612442295,75.96111356606275,92.85474108944183,64.96457778195447,15000.0,551736.0,10.0,0.7544092444686066,0.24559075553139345,15012.599999999999,85.42599136094356,48008.0,3325.379310026986,26.0,2.5385910352879693,13.5,1.2692955176439846,13.5,1.2692955176439846,6.300000000000001,0.483045891539648,0.0,0.0,0.0,0.0,1.0,0.0
20000.0,2.434113,2.7878245991344254E-7,20000.0,83.91999999999999,67.98051431099759,66.08668142992722,59.44003026863412,85.28685149601976,82.27317826039025,77.2245236122618,94.1109709962169,65.44759250890722,20000.0,684512.0,10.0,0.5390099896130829,0.4609900103869172,20015.699999999997,77.68747932868267,60945.6,5694.07682889275,31.0,3.651483716701108,16.0,1.8257418583505538,16.0,1.8257418583505538,7.4,1.0749676997731399,0.0,0.0,0.0,0.0,1.0,0.0
25000.0,3.039644,4.0661242938497005E-7,25000.0,85.116,70.31214751160363,68.73371985547433,62.801159652104374,86.38343030702235,83.5884091209809,78.7076553747666,94.72211115553777,65.84636788204502,25000.0,816016.0,10.0,0.6030432584576394,0.39695674154236066,24972.3,79.35580914113629,73596.0,7637.975997169233,38.4,4.903513479582211,19.7,2.4517567397911053,19.7,2.4517567397911053,8.9,1.1005049346146119,0.0,0.0,0.0,0.0,1.0,0.0
30000.0,3.632231,5.477109902807408E-7,30000.0,86.01333333333334,72.0481530650599,70.72694293288684,65.0827993675626,87.25549750941563,84.50288078002659,79.87987987987988,95.19054751206524,66.15709096384626,30000.0,920392.0,10.0,0.7310157787843549,0.2689842212156453,29947.7,105.47885517433784,83684.79999999999,10556.64876116785,43.599999999999994,6.603029607687671,22.299999999999997,3.3015148038438356,22.299999999999997,3.3015148038438356,9.3,1.2516655570345725,0.0,0.0,0.0,0.0,1.0,0.0
35000.0,4.238316,7.143623504125409E-7,35000.0,86.81142857142858,73.60298529780066,72.43191591017678,67.1646037843221,88.01288044042796,85.34230915788137,80.92259204431498,95.58290063304645,66.4276848680882,35000.0,1062864.0,10.0,0.5325929731317152,0.46740702686828495,34964.7,95.31357604128526,97437.60000000002,9654.749104283688,50.8,5.6134758493389025,25.9,2.8067379246694513,25.9,2.8067379246694513,9.9,1.3703203194062976,0.0,0.0,0.0,0.0,1.0,0.0
40000.0,4.794917,8.847234393945998E-7,40000.0,87.2675,74.50050568656496,73.3099255843203,68.32317452419456,88.4405002383168,85.82955399126347,81.44726391037163,95.92636357982461,66.59084537122881,40000.0,1183120.0,10.0,0.39005645761725,0.6099435423827498,39927.5,131.33946686185203,109080.8,8547.957843186223,56.4,4.718756898449704,28.7,2.359378449224852,28.7,2.359378449224852,10.600000000000001,1.264911064067352,0.0,0.0,0.0,0.0,1.0,0.0
45000.0,5.267355,1.0421017958927486E-6,45000.0,87.66000000000001,75.26491069312785,74.16247906197655,69.25249169435217,88.82538788159299,86.22323665864491,81.92583243624485,96.21283428381597,66.73429903731304,45000.0,1287664.0,10.0,0.8839202153841911,0.11607978461580892,44919.2,112.1752597005638,119275.20000000001,8998.420167513357,60.2,5.593647190240808,30.6,2.796823595120404,30.6,2.796823595120404,10.8,1.2292725943057183,0.0,0.0,0.0,0.0,1.0,0.0
50000.0,5.641427,1.1744210357508726E-6,50000.0,88.058,76.03887469662953,74.93703828072532,70.21053681899822,89.21442893011327,86.62380429669123,82.44032715740278,96.45298079321527,66.87550148421656,50000.0,1367320.0,10.0,0.6552793507729228,0.3447206492270773,49915.3,145.87365156950807,127011.20000000001,10332.61946781486,63.60000000000001,6.040603354706293,32.30000000000001,3.020301677353147,32.30000000000001,3.020301677353147,11.1,1.1972189997378648,0.0,0.0,0.0,0.0,1.0,0.0
