learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),F1 Score for class 0 (percent),F1 Score for class 1 (percent),Recall for class 0 (percent),Recall for class 1 (percent),GMean (percent),model training instances,model serialized size (bytes),ensemble size,size of class 0,size of class 1
5000.0,0.979589,1.047943934177359E-7,5000.0,78.94,58.76009261551091,56.015037593984964,46.79130874178878,79.95431182181612,77.81756899094165,69.69797543976104,92.95420231504781,63.767581449120534,5000.0,413520.0,10.0,0.6790915879978233,0.32090841200217674
10000.0,1.91306,2.6764339846869316E-7,10000.0,80.27,61.56608408927826,58.55042016806722,50.10116337885684,81.01972101972102,79.45861530452889,69.74163630341172,96.31499242806663,64.43148080160007,10000.0,674352.0,10.0,0.6324170611803471,0.3675829388196528
15000.0,3.100145,5.624616041965783E-7,15000.0,82.39999999999999,65.53641602433422,63.066592053721315,55.47309833024118,83.28479169304799,81.41630297057581,72.56978925300673,97.40609735556679,65.18740035631379,15000.0,960008.0,10.0,0.6229896044096734,0.37701039559032656
20000.0,4.224466,9.230847481824459E-7,20000.0,83.895,68.33852243423584,66.29342821264127,59.39233484619263,84.8202083038786,82.84968851498856,74.61857379767828,97.98488664987406,65.68931809045371,20000.0,1239840.0,10.0,0.7647135061816874,0.2352864938183126
25000.0,5.335021,1.3457625277526678E-6,25000.0,85.088,70.58812966830207,69.02882778100854,62.55148166750376,86.02384344305315,84.01783417645547,76.29846378931968,98.35390946502058,66.07805483939812,25000.0,1471200.0,10.0,0.26117801647091954,0.7388219835290804
30000.0,6.042092,1.6486776724644005E-6,30000.0,85.92999999999999,72.17778900362867,70.72206422972879,64.66895454925921,86.89171143753299,84.81600057556028,77.52840121917428,98.61145964031786,66.35884659551658,30000.0,1656000.0,10.0,0.7413114807201131,0.2586885192798868
35000.0,6.679041,1.9564706461918024E-6,35000.0,86.56,73.37023096161728,71.98666031443545,66.27473472899341,87.53312837909468,85.42208999628114,78.47367420642463,98.75322441960446,66.56329668556634,35000.0,1867912.0,10.0,0.33390035673843954,0.6660996432615603
40000.0,7.251382,2.260661358251754E-6,40000.0,87.19749999999999,74.58339991273186,73.37665713543021,67.90951247023436,88.1729370193307,86.04670172474863,79.42498127652492,98.89765752223475,66.7687499506243,40000.0,2054440.0,10.0,0.523816478532092,0.4761835214679078
45000.0,7.825171,2.593989066763057E-6,45000.0,87.5911111111111,75.32793734926751,74.1696734202979,68.88789837307777,88.57750685267766,86.41825169042176,80.05842331016122,98.9362887057251,66.89445268777642,45000.0,2245544.0,10.0,0.6711295152627959,0.3288704847372039
50000.0,8.407184,2.962585953546481E-6,50000.0,87.946,76.02007505258953,74.97093023255815,69.9131389776358,88.89789452355076,86.81556668781309,80.5407209612817,99.01696606786427,66.99956847419728,50000.0,2448056.0,10.0,0.8050809628148561,0.19491903718514406
55000.0,9.350664,3.1038588502402936E-6,55000.0,79.96,59.66495343355103,58.38870431893688,49.9,82.02368137782561,77.36104835065521,76.35270541082164,85.34396809571287,63.580003441831956,55000.0,578800.0,10.0,0.5460894738223688,0.45391052617763133
60000.0,9.794793,3.207548796126826E-6,60000.0,80.63,61.650778566408306,59.71297836938436,51.270440251572325,82.0131859968428,79.01635792438522,73.36766904801462,91.61014820396886,64.22184543673272,60000.0,902464.0,10.0,0.5779142638639012,0.42208573613609884
65000.0,10.325311,3.3762585103532507E-6,65000.0,82.21333333333334,64.84848484848486,63.02660753880267,55.488822155488826,83.37694704049845,80.87455197132617,74.34444444444445,94.01666666666667,64.87702041383973,65000.0,1229256.0,10.0,0.7870227485104242,0.2129772514895758
70000.0,10.869699,3.594240702152666E-6,70000.0,83.84,68.01340175126823,66.47650658645368,59.865888488761954,84.9000186880957,82.61991826199183,76.09077966669459,95.32200024816974,65.46235175940144,70000.0,1547800.0,10.0,0.5339850877387033,0.4660149122612967
75000.0,11.419398,3.854541905507859E-6,75000.0,85.092,70.40325119975864,68.87942551770207,62.82665070815878,86.19578502907514,83.79635668014434,77.73917691074291,96.06259968102073,65.91695089120925,75000.0,1830432.0,10.0,0.580411758044393,0.41958824195560696
80000.0,12.0106,4.172974552216215E-6,80000.0,85.87666666666667,71.9117577607409,70.44297174747123,64.735746982938,86.98430252204098,84.56297591722229,78.74742755436898,96.53938940188004,66.19796389547207,80000.0,2082016.0,10.0,0.5771717382059481,0.422828261794052
85000.0,12.686596,4.578167418963793E-6,85000.0,86.50571428571429,73.1242986190632,71.77939770554494,66.26187584827488,87.61245311721352,85.18181532958931,79.55227435103596,96.92966797572295,66.42325314352627,85000.0,2316968.0,10.0,0.6588295711824884,0.34117042881751164
90000.0,13.315333,4.989060546341869E-6,90000.0,86.895,73.88548088408608,72.60803678737524,67.25591854581798,87.98202576917788,85.59177615304272,80.0,97.22135497970652,66.56225562954326,90000.0,2526168.0,10.0,0.42651094992757854,0.5734890500724215
95000.0,13.997575,5.474745008630885E-6,95000.0,87.27111111111111,74.6165243310787,73.47042749293688,68.20780374091136,88.34493142880397,85.97934106819406,80.47225414241761,97.44770570937136,66.69332047735158,95000.0,2751808.0,10.0,0.6142509874958516,0.3857490125041483
100000.0,14.608101,5.937950371127161E-6,100000.0,87.604,75.26364895337888,74.16423509795749,69.02239104358257,88.66993272886809,86.31667255386789,80.88107783632363,97.67662636154691,66.81274283358499,100000.0,2932728.0,10.0,0.6939870052173105,0.3060129947826894
