learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),F1 Score for class 0 (percent),F1 Score for class 1 (percent),Recall for class 0 (percent),Recall for class 1 (percent),GMean (percent),model training instances,model serialized size (bytes),ensemble size,size of class 0,size of class 1
5000.0,0.923865,1.0871838343640168E-7,5000.0,79.97999999999999,60.91591541407576,59.17618270799346,51.431344007763215,80.33012379642366,79.61718590918348,69.571136827774,94.81086323957322,64.10577198414883,5000.0,454880.0,10.0,0.6454931213379509,0.35450687866204905
10000.0,1.775489,2.685565699885289E-7,10000.0,83.08,66.73784741109382,65.01240694789082,58.07730426164518,83.9041095890411,82.16694772344013,73.95606238470569,96.556849145405,65.29029627940714,10000.0,725496.0,10.0,0.67105987171225,0.32894012828775004
15000.0,2.704963,5.076059742396077E-7,15000.0,84.72666666666666,69.8130872744625,68.4825973311322,62.11970899470898,85.67139908687223,83.64856184426522,76.51659032510334,96.87551661431641,65.8392183541504,15000.0,994152.0,10.0,0.632937998300352,0.367062001699648
20000.0,3.556274,7.779767424489062E-7,20000.0,85.67,71.5781252875905,70.23883696780894,64.27770160787736,86.70193021529323,84.46444058976584,78.01436205744822,97.09621136590229,66.16467588966006,20000.0,1227648.0,10.0,0.6482143242196606,0.35178567578033937
25000.0,4.473823,1.1246650235375598E-6,25000.0,86.532,73.23738815374344,71.93465032924897,66.60716056729147,87.52824387894952,85.3627787679868,79.21024403325289,97.36215787385957,66.44027428960399,25000.0,1460536.0,10.0,0.6692011627342421,0.330798837265758
30000.0,5.27543,1.4668525155488817E-6,30000.0,87.10333333333334,74.33908724086888,73.15058986814712,67.99569856894698,88.09941250653625,85.92527920259012,79.9609156895589,97.68403639371381,66.64175719533375,30000.0,1650080.0,10.0,0.7161241423973178,0.2838758576026822
35000.0,5.884168,1.7614452106857467E-6,35000.0,87.35142857142857,74.81664069963726,73.68327190583759,68.54483444649708,88.35643460193052,86.15654022952562,80.27240143369175,97.87566607460036,66.73605987550737,35000.0,1870656.0,10.0,0.703439512368238,0.2965604876317621
40000.0,6.436886,2.051742836243163E-6,40000.0,87.67,75.43339002922045,74.33121682106798,69.34742075823493,88.6672794117647,86.48026315789473,80.69764523819482,98.02995463302467,66.84452106777702,40000.0,2030216.0,10.0,0.7547904868157205,0.2452095131842794
45000.0,6.980907,2.358944848020458E-6,45000.0,87.91555555555556,75.90978795917628,74.8287354193668,69.93919292426756,88.9097361014806,86.72557730801151,81.00635475119849,98.1924713946161,66.93258289985053,45000.0,2182784.0,10.0,0.5683154285426335,0.43168457145736666
50000.0,7.653798,2.7958609751322208E-6,50000.0,86.96000000000001,73.50902968288847,72.81067556296915,67.72277227722773,88.52516719464977,84.90041685965724,84.39597315436241,90.74257425742574,66.16996059613987,50000.0,2509896.0,10.0,0.6587011271471429,0.341298872852857
55000.0,8.490974,3.085562678455479E-6,55000.0,85.32,70.31267467593493,69.32720434600918,63.24486730095141,86.98581560283688,83.1651376146789,81.68498168498168,90.78617926890335,65.66413803475322,55000.0,1337632.0,10.0,0.659934946433667,0.34006505356633304
60000.0,9.088917,3.3030618276074534E-6,60000.0,83.89999999999999,67.96624748743957,67.26311508743392,60.109018830525265,85.11739693104086,82.46569374863864,77.32616728249916,93.57390014829461,65.364376274618,60000.0,1406048.0,10.0,0.5878448352828429,0.4121551647171571
65000.0,9.626598,3.5299080460766955E-6,65000.0,85.2,70.59157237920736,69.65969659696597,63.07385229540918,86.3241545000924,83.87448245805186,78.01904125605479,95.91328183403938,65.94170211067011,65000.0,1630832.0,10.0,0.5829336691929294,0.4170663308070705
70000.0,10.182829,3.8170396820538575E-6,70000.0,86.58,73.26549790984802,72.29943580569699,66.58921161825727,87.66468533611128,85.28616329215698,79.74358974358975,96.74958540630182,66.42536698240582,70000.0,1995392.0,10.0,0.5412959980229465,0.4587040019770536
75000.0,10.818277,4.196096054100328E-6,75000.0,87.355,74.77496254346258,73.59022556390978,68.56041770263552,88.40918465557542,86.08987404433199,80.70454355284078,97.22946949931669,66.69595434735106,75000.0,2305824.0,10.0,0.4570339036533507,0.5429660963466492
80000.0,11.606441,4.719192178795736E-6,80000.0,87.852,75.72955782409433,74.60490007525712,69.6360727854429,88.92696977431,86.54587338856156,81.33795771359968,97.6116718297192,66.88602797732102,80000.0,2565472.0,10.0,0.4975628787396407,0.5024371212603592
85000.0,12.297468,5.226308854385797E-6,85000.0,88.34666666666666,76.6982612885993,75.75421319092864,70.91756093503034,89.39256022816919,87.07196213297833,81.95727161455436,97.89622484616663,67.05473444521293,85000.0,2836712.0,10.0,0.48626965775726044,0.5137303422427396
90000.0,13.019112,5.797899313186192E-6,90000.0,88.60285714285713,77.1926852580764,76.28982406086541,71.49899971420405,89.65213105398324,87.31677848081142,82.28963283965903,98.07156631669166,67.14931108290514,90000.0,3061712.0,10.0,0.7313736869980426,0.26862631300195744
95000.0,13.69509,6.366948589299702E-6,95000.0,88.7275,77.44668865370268,76.57297241128488,71.8381112984823,89.75716135480793,87.46768948553323,82.37158105403603,98.2455044955045,67.19692804539888,95000.0,3254016.0,10.0,0.5789834553432014,0.4210165446567985
100000.0,14.330014,6.934097148807098E-6,100000.0,88.87777777777778,77.74576808941256,76.8693964322026,72.25917304068285,89.88950164636488,87.64105983159246,82.54739732126293,98.33213276444839,67.24573036366534,100000.0,3452848.0,10.0,0.8014347622372445,0.19856523776275556
