learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),F1 Score for class 0 (percent),F1 Score for class 1 (percent),Recall for class 0 (percent),Recall for class 1 (percent),GMean (percent),model training instances,model serialized size (bytes),ensemble size,size of class 0,size of class 1,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
5000.0,0.674119,3.609419831178255E-8,5000.0,80.32000000000001,61.16988506759519,58.48101265822785,50.849150849150845,81.50375939849624,78.97435897435898,72.4356832609422,92.07772795216741,64.13139075622593,5000.0,206968.0,10.0,0.5664355289318641,0.43356447106813584,5776.3,71.94758894886998,14854.400000000001,696.8607704077866,7.4,0.8432740427115678,4.200000000000001,0.4216370213557841,4.200000000000001,0.4216370213557841,3.2,0.4216370213557839,0.0,0.0,0.0,0.0,1.0,0.0
10000.0,1.324788,1.0107439958179992E-7,10000.0,82.89999999999999,66.26590828746022,63.93926613243356,56.763590391908956,84.03063130369817,81.59707275075334,74.48675496688742,95.73232323232324,65.23401685455423,10000.0,386032.0,10.0,0.5972869652724186,0.40271303472758146,11619.000000000002,67.56396146533213,32080.800000000003,2780.8857421891876,17.4,1.837873166945363,9.2,0.9189365834726815,9.2,0.9189365834726815,6.5,0.5270462766947299,0.0,0.0,0.0,0.0,1.0,0.0
15000.0,1.89273,1.8380252938096724E-7,15000.0,85.06,70.37453671380595,68.67486720715684,62.24730458221025,86.20838205428025,83.70300341793325,77.31537697317584,96.86921393704763,65.98950501978014,15000.0,563056.0,10.0,0.7257545713100751,0.27424542868992496,17473.800000000003,95.76684650174572,49183.2,2629.7888719650305,26.2,1.9321835661585915,13.6,0.9660917830792958,13.6,0.9660917830792958,8.3,0.674948557710553,0.0,0.0,0.0,0.0,1.0,0.0
20000.0,2.377756,2.710077438565592E-7,20000.0,86.68,73.45731212940557,71.9578947368421,66.27848101265823,87.84671532846716,85.26548672566373,79.60314179412981,97.5079063883618,66.5415374376208,20000.0,694992.0,10.0,0.5205480754456295,0.47945192455437036,23317.800000000003,90.10463053830499,61970.4,4217.913207051826,32.2,3.011090610836324,16.6,1.505545305418162,16.6,1.505545305418162,9.1,0.8755950357709131,0.0,0.0,0.0,0.0,1.0,0.0
25000.0,2.847255,3.7295229366049175E-7,25000.0,87.72,75.4811021465335,74.2967180174146,69.15192926045015,88.81195335276968,86.3918439716312,81.0011300937313,97.87084463191724,66.87151387654697,25000.0,839328.0,10.0,0.558548843261069,0.4414511567389311,29032.7,88.03162310594209,75914.40000000001,6106.044859172119,39.400000000000006,3.238655413730966,20.200000000000003,1.619327706865483,20.200000000000003,1.619327706865483,10.4,1.0749676997731399,0.0,0.0,0.0,0.0,1.0,0.0
30000.0,3.280305,4.797288633200029E-7,30000.0,88.45666666666666,76.9077339206544,75.88608035652112,71.0548311601471,89.52161941359799,87.15075507402321,82.04203871110865,98.12014370457014,67.11225342954869,30000.0,953104.0,10.0,0.5896016298813728,0.41039837011862734,34803.0,121.00413216084937,86955.2,4718.6547235414455,44.4,3.533962208186286,22.7,1.766981104093143,22.7,1.766981104093143,10.9,0.8755950357709134,0.0,0.0,0.0,0.0,1.0,0.0
35000.0,3.651236,5.800332846244176E-7,35000.0,89.02,78.00356226344161,77.11410195331109,72.49498997995993,90.061292575064,87.73497590399899,82.82357418065928,98.34013021392288,67.29853348970208,35000.0,1045272.0,10.0,0.6071233329746059,0.3928766670253942,40628.4,112.71024798127354,95864.0,3455.6398989349436,49.0,3.527668414752786,25.0,1.763834207376393,25.0,1.763834207376393,11.600000000000001,0.8432740427115681,0.0,0.0,0.0,0.0,1.0,0.0
40000.0,4.072608,7.059773254808453E-7,40000.0,89.3775,78.70766052873013,77.85710563343582,73.45536327856563,90.38926963877768,88.12763698343066,83.29581457395363,98.48863352485637,67.41373155722987,40000.0,1155352.0,10.0,0.5477968636583156,0.45220313634168435,46370.8,146.87772692504024,106515.2,5386.314443929995,54.2,4.442221666388716,27.6,2.221110833194358,27.6,2.221110833194358,12.0,0.9428090415820634,0.0,0.0,0.0,0.0,1.0,0.0
45000.0,4.478722,8.380393966618511E-7,45000.0,89.60444444444444,79.14428899865436,78.30442445042203,73.97641299510458,90.61885854088959,88.34404744107239,83.6226359228691,98.5929592347478,67.49362843217442,45000.0,1256992.0,10.0,0.5862958794099511,0.413704120590049,52187.299999999996,129.17434385786987,116328.8,6964.8314775815725,59.4,3.8643671323171835,30.2,1.9321835661585918,30.2,1.9321835661585918,12.600000000000001,1.0749676997731403,0.0,0.0,0.0,0.0,1.0,0.0
50000.0,4.997541,8.553138990617461E-7,50000.0,86.56,72.29184537464312,71.70526315789473,66.24811652435963,88.5636487406399,83.7051406401552,86.47391159853773,86.69010547463586,65.79589977216924,50000.0,128704.0,10.0,0.6795419594934944,0.32045804050650556,57988.9,171.0798708855668,7272.8,1190.7761054595164,71.0,5.656854249492381,36.0,2.8284271247461903,36.0,2.8284271247461903,1.3999999999999997,0.6992058987801011,0.0,0.0,0.0,0.0,1.0,0.0
55000.0,5.25813,8.768239977624681E-7,55000.0,85.02,69.77606403891131,69.03679206283587,62.74558567520516,86.62738796643457,82.97340304614684,81.15069409600267,90.77343944292464,65.55992173937658,55000.0,319072.0,10.0,0.6187385392273449,0.38126146077265516,63719.9,165.65254802346576,25587.2,4367.93357702854,81.60000000000001,7.058485830702092,41.300000000000004,3.529242915351046,41.300000000000004,3.529242915351046,5.4,0.5163977794943223,0.0,0.0,0.0,0.0,1.0,0.0
60000.0,5.558655,9.196303412483797E-7,60000.0,86.61999999999999,73.51737687599102,72.84902597402598,67.15758468335787,87.42244782853919,85.70818201239051,78.52077001013171,98.38155958803335,66.50231755325619,60000.0,550592.0,10.0,0.5949425116649074,0.40505748833509253,69507.0,182.57175149634867,47899.2,7221.6269758121525,94.00000000000001,7.007932013876212,47.50000000000001,3.503966006938106,47.50000000000001,3.503966006938106,7.999999999999999,1.0540925533894596,0.0,0.0,0.0,0.0,1.0,0.0
65000.0,5.878148,9.784356845542788E-7,65000.0,87.58,75.32717222495945,74.23236514522821,69.26503340757239,88.47866419294992,86.529284164859,80.05707570924963,98.6643581498887,66.84336800669502,65000.0,711472.0,10.0,0.5808084814823886,0.4191915185176114,75328.40000000001,213.23393517709312,63508.00000000001,6395.060593927157,101.0,6.324555320336759,51.0,3.1622776601683795,51.0,3.1622776601683795,9.200000000000001,0.7888106377466156,0.0,0.0,0.0,0.0,1.0,0.0
70000.0,6.232957,1.0585053634105456E-6,70000.0,88.23333333333333,76.53641337715305,75.42809411109563,70.4057679409792,89.25418569254185,86.99815837937385,81.13792340048704,98.97753938987597,67.10355109648874,70000.0,872320.0,10.0,0.6737635640212593,0.32623643597874064,81216.29999999999,212.40372982705298,79092.8,7263.080901227642,108.40000000000002,7.426678635537931,54.70000000000001,3.7133393177689653,54.70000000000001,3.7133393177689653,10.3,1.3374935098492584,0.0,0.0,0.0,0.0,1.0,0.0
75000.0,6.605853,1.15612218586521E-6,75000.0,88.905,77.79744712065308,76.84199540805677,71.9256072874494,89.96880792007593,87.58879131942501,82.28046965437407,99.03870478117885,67.32740423400284,75000.0,1011904.0,10.0,0.9194965440132039,0.08050345598679609,87040.9,213.50433250873542,92576.8,6402.031288756891,115.39999999999999,6.380525927469547,58.199999999999996,3.1902629637347735,58.199999999999996,3.1902629637347735,11.4,1.3498971154211061,0.0,0.0,0.0,0.0,1.0,0.0
80000.0,6.990583,1.2701126159230866E-6,80000.0,89.48,78.93209530741983,78.05773402302687,73.54923061450268,90.4834274135186,88.24002861742085,83.04882098970442,99.2156862745098,67.5026864769496,80000.0,1145288.0,10.0,0.43856897798518724,0.5614310220148127,92810.79999999999,221.29005600995478,105466.40000000001,7397.668870063805,122.0,6.879922480183431,61.5,3.4399612400917157,61.5,3.4399612400917157,12.1,1.1972189997378648,0.0,0.0,0.0,0.0,1.0,0.0
85000.0,7.405696,1.4058931333447493E-6,85000.0,89.85,79.65266794574279,78.81886477462436,74.52948557089083,90.83245521601685,88.63169684524921,83.60583051598958,99.27239274065401,67.61623755738032,85000.0,1264368.0,10.0,0.6128512488962675,0.38714875110373237,98572.5,240.69909753789284,116981.59999999999,7543.2454435887375,127.79999999999998,8.175845182269809,64.4,4.087922591134904,64.4,4.087922591134904,12.6,1.0749676997731399,0.0,0.0,0.0,0.0,1.0,0.0
90000.0,7.809505,1.5493086292097963E-6,90000.0,90.14,80.21314167560276,79.35634384159836,75.24745373691005,91.11643112724278,88.9224151767085,84.05205167173251,99.33304647160068,67.70987707552962,90000.0,1372848.0,10.0,0.6921308890415961,0.30786911095840397,104428.09999999999,250.5076845128704,127540.8,6889.3705695400395,132.0,7.557189365836423,66.5,3.7785946829182113,66.5,3.7785946829182113,13.0,1.1547005383792515,0.0,0.0,0.0,0.0,1.0,0.0
95000.0,8.271095,1.7270257745145092E-6,95000.0,90.3675,80.66307592416145,79.8609659209701,75.86746837028686,91.32226751649738,89.17666226579398,84.36251664447404,99.40506012024048,67.78045012478054,95000.0,1488248.0,10.0,0.446377684282604,0.553622315717396,110180.9,277.77026878739673,138710.40000000002,8514.263525272037,137.4,6.979334575094615,69.2,3.4896672875473076,69.2,3.4896672875473076,13.7,1.1595018087284055,0.0,0.0,0.0,0.0,1.0,0.0
100000.0,8.818906,1.9517695880598487E-6,100000.0,90.6088888888889,81.1292445803512,80.32313637845138,76.45420102518388,91.56015337913405,89.41594870767382,84.74306839186691,99.44846796657382,67.85859126861548,100000.0,1585840.0,10.0,0.5771847578651388,0.42281524213486127,115960.20000000001,284.7181062033078,148212.80000000002,9081.96059107161,141.20000000000002,8.134972512416855,71.10000000000001,4.0674862562084275,71.10000000000001,4.0674862562084275,14.3,1.1595018087284057,0.0,0.0,0.0,0.0,1.0,0.0
