learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),F1 Score for class 0 (percent),F1 Score for class 1 (percent),Recall for class 0 (percent),Recall for class 1 (percent),GMean (percent),model training instances,model serialized size (bytes),ensemble size,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
5000.0,0.566271,2.9307146240025757E-8,5000.0,94.74000000000001,64.65802405296947,70.24886877828055,47.609561752988085,97.13974986405655,67.32919254658385,99.28857269897733,53.98406374501992,61.90166323371231,5000.0,200056.0,10.0,4983.3,68.98478093028926,14200.0,2973.6765123328396,7.2,1.9888578520235065,4.1,0.9944289260117531,4.1,0.9944289260117531,2.5,0.5270462766947299,0.0,0.0,0.0,0.0,1.0,0.0
10000.0,1.046108,6.318385915209849E-8,10000.0,95.02000000000001,67.11657964886058,71.84850197851895,49.6461071789687,97.28699062976683,69.7080291970803,99.09000110975474,57.93731041456016,62.65526943608073,10000.0,272904.0,10.0,9980.100000000002,62.197624106105835,21253.600000000002,8317.078162164617,10.6,5.146735750831676,5.8,2.573367875415838,5.8,2.573367875415838,3.0,0.9428090415820634,0.0,0.0,0.0,0.0,1.0,0.0
15000.0,1.458845,1.0137783148015539E-7,15000.0,95.15333333333334,68.03092671439542,72.18821729150727,50.13717421124827,97.35914853427296,70.57871307163093,98.95879486043421,59.807956104252405,63.00133946288099,15000.0,357704.0,10.0,15012.599999999999,85.42599136094356,29407.200000000004,7668.12178654808,15.4,3.9777157040470135,8.2,1.9888578520235063,8.2,1.9888578520235063,4.1,0.31622776601683794,0.0,0.0,0.0,0.0,1.0,0.0
20000.0,1.760097,1.3316995969870025E-7,20000.0,95.17,69.31155427923531,72.72727272727273,51.23674911660775,97.35805710534954,71.88591385331783,98.77906654087352,62.34225138818778,63.46678618164412,20000.0,407936.0,10.0,20015.699999999997,77.68747932868267,34336.8,7960.781603167703,16.799999999999997,4.366539438350084,8.899999999999999,2.183269719175042,8.899999999999999,2.183269719175042,4.300000000000001,0.48304589153964794,0.0,0.0,0.0,0.0,1.0,0.0
25000.0,2.033401,1.6433342840729488E-7,25000.0,95.19999999999999,69.7723738842983,73.03370786516852,51.80722891566262,97.37199421838729,72.3374827109267,98.76055086628165,63.01204819277109,63.59492885817484,25000.0,440760.0,10.0,24972.3,79.35580914113629,37549.6,9152.649588446446,17.8,4.638007234913623,9.4,2.3190036174568114,9.4,2.3190036174568114,4.800000000000001,1.032795558988644,0.0,0.0,0.0,0.0,1.0,0.0
30000.0,2.294947,1.9705862706113192E-7,30000.0,95.20666666666666,70.14669432768505,73.15160567587749,51.825795644891095,97.3724601666423,72.72382397572078,98.63039052378309,64.22110552763819,63.80664073029963,30000.0,483656.0,10.0,29947.7,105.47885517433784,41716.799999999996,9424.562292223443,19.6,4.526465385804787,10.3,2.2632326929023936,10.3,2.2632326929023936,5.5,0.97182531580755,0.0,0.0,0.0,0.0,1.0,0.0
35000.0,2.555814,2.3196533369935221E-7,35000.0,95.1,69.69560870917458,72.67367750159336,51.0139960011425,97.31195435808215,72.33424745926763,98.55233499476174,64.03884604398743,63.755623485059964,35000.0,517240.0,10.0,34964.7,95.31357604128526,44981.600000000006,8962.636159821135,21.0,4.521553322083512,11.0,2.260776661041756,11.0,2.260776661041756,6.1,1.1972189997378648,0.0,0.0,0.0,0.0,1.0,0.0
40000.0,2.768383,2.620453822861115E-7,40000.0,95.11,69.75400659868302,72.70443762210435,51.03879849812262,97.31746118821658,72.38848108413325,98.54186918483543,64.180225281602,63.7812853559799,40000.0,546992.0,10.0,39927.5,131.33946686185203,47914.4,9025.031501330064,21.6,4.42718872423573,11.3,2.213594362117865,11.3,2.213594362117865,6.4,1.2649110640673518,0.0,0.0,0.0,0.0,1.0,0.0
45000.0,2.967528,2.913135060854256E-7,45000.0,95.14888888888889,70.0560033666764,72.85501119124599,51.261442286224664,97.33816195388422,72.6749280260358,98.50201130278128,64.81357445858451,63.897493253132744,45000.0,568104.0,10.0,44919.2,112.1752597005638,49971.200000000004,9169.99489639989,22.400000000000002,4.221637386396684,11.700000000000001,2.110818693198342,11.700000000000001,2.110818693198342,6.800000000000001,1.398411797560202,0.0,0.0,0.0,0.0,1.0,0.0
50000.0,3.537069,3.05953274462372E-7,50000.0,94.604,66.24713650489184,69.76014346559067,45.637719121499096,97.04348207241168,69.14455626715463,98.3169394053778,60.91073947209349,63.09272519028467,50000.0,99360.0,10.0,49915.3,145.87365156950807,4480.0,5404.363011082393,6.7,5.165053511608353,-9.4,3.3730961708462712,-9.4,3.3730961708462712,0.4000000000000001,0.966091783079296,0.0,0.0,0.0,0.0,1.0,0.0
55000.0,3.772615,3.1765248335690956E-7,55000.0,89.94,0.6704644909746027,45.08733624454148,0.19841269841267656,94.70135889602865,0.7889546351084813,99.97775800711743,0.3968253968253968,50.093558319394425,55000.0,191992.0,10.0,54895.799999999996,133.27815524933845,13436.8,1778.9612949383945,11.9,4.532597979574677,-6.800000000000001,3.011090610836324,-6.800000000000001,3.011090610836324,2.4000000000000004,0.5163977794943222,0.0,0.0,0.0,0.0,1.0,0.0
60000.0,4.071896,3.4182803768664595E-7,60000.0,92.53,37.64003860140049,57.939189189189186,23.775510204081627,96.01578750866713,40.28776978417266,99.78935698447894,25.71428571428571,56.01420415813401,60000.0,312248.0,10.0,59897.6,142.66915885673762,24987.199999999997,6483.975954441672,18.9,7.202622979011033,-3.9,5.546770832355224,-3.9,5.546770832355224,3.6999999999999997,0.6749485577105528,0.0,0.0,0.0,0.0,1.0,0.0
