learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),F1 Score for class 0 (percent),F1 Score for class 1 (percent),Recall for class 0 (percent),Recall for class 1 (percent),GMean (percent),model training instances,model serialized size (bytes),ensemble size,size of class 0,size of class 1,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
5000.0,0.357787,8.810207508504392E-9,5000.0,91.25999999999999,63.038396086298974,48.948598130841106,8.768267223382008,94.94856086001619,67.60563380281691,90.84273390842735,95.19832985386222,68.19843542235584,5000.0,95184.0,10.0,0.8486859569615853,0.15131404303841461,928.5,41.66866661866899,4063.2000000000003,2197.240936568708,2.2,1.9321835661585918,1.6,0.9660917830792959,1.6,0.9660917830792959,0.6,0.9660917830792959,0.0,0.0,0.0,0.0,1.0,0.0
10000.0,0.569718,1.5255195895830793E-8,10000.0,90.14,61.28233837712681,44.97767857142857,1.6949152542372132,94.2224305636939,66.39400136332651,89.36312104034678,97.10867397806581,68.27733793478123,10000.0,117552.0,10.0,0.7592178951233803,0.24078210487661958,1937.0,50.46010525377672,6244.0,3849.3428010505895,3.0,2.309401076758503,2.0,1.1547005383792515,2.0,1.1547005383792515,1.0,1.1547005383792515,0.0,0.0,0.0,0.0,1.0,0.0
15000.0,0.768903,2.335065534959237E-8,15000.0,89.69333333333334,59.78384902728594,41.83596689240032,-4.884667571234766,93.95527056615578,65.05424954792043,88.82892207600177,97.62550881953868,68.27415889184216,15000.0,157104.0,10.0,0.9400204781225228,0.059979521877477335,2860.3999999999996,56.39188278861104,10036.0,2179.3283368964853,5.4,0.8432740427115678,3.2,0.4216370213557839,3.2,0.4216370213557839,2.2,0.4216370213557839,0.0,0.0,0.0,0.0,1.0,0.0
20000.0,1.000959,3.408168366799752E-8,20000.0,89.68,60.43391951772325,43.1718061674009,-2.1276595744680713,93.92476599752753,65.74842349817457,88.74242171422215,98.02078179119248,68.33066725589151,20000.0,178752.0,10.0,0.7691364920506402,0.2308635079493598,3930.0,60.6043636126054,12146.4,1516.4780248984816,6.199999999999999,1.0327955589886446,3.5999999999999996,0.5163977794943223,3.5999999999999996,0.5163977794943223,2.5999999999999996,0.5163977794943223,0.0,0.0,0.0,0.0,1.0,0.0
25000.0,1.198074,4.402588095515967E-8,25000.0,89.668,60.41848004070213,42.95494699646643,-2.540690750297745,93.91705720274122,65.72906992171951,88.69712201414528,98.33267169511711,68.37941826844946,25000.0,195008.0,10.0,0.7963837450110893,0.2036162549889107,4886.8,68.77305673978243,13717.599999999999,1749.7318651724895,6.999999999999999,1.3333333333333333,3.9999999999999996,0.6666666666666666,3.9999999999999996,0.6666666666666666,2.8,0.42163702135578385,0.0,0.0,0.0,0.0,1.0,0.0
30000.0,1.373006,5.409023836668995E-8,30000.0,89.67,60.484765098186024,42.92817679558015,-2.5140588819053353,93.91649162756914,65.79092615078926,88.67183156021797,98.57757194839564,68.41955194032873,30000.0,222392.0,10.0,0.9703756496213207,0.02962435037867928,5856.599999999999,62.07737107835683,16374.4,3505.3732468882686,8.200000000000001,2.1499353995462798,4.600000000000001,1.0749676997731399,4.600000000000001,1.0749676997731399,3.3000000000000007,0.6749485577105528,0.0,0.0,0.0,0.0,1.0,0.0
35000.0,1.519454,6.3280218694773E-8,35000.0,89.62857142857142,60.22531636667525,42.38095238095237,-3.832951945080179,93.89587677406335,65.53361184960121,88.62049263585577,98.71281464530892,68.43487913359033,35000.0,242568.0,10.0,0.9747283687553128,0.025271631244687193,6777.9,59.76890681802895,18298.4,3391.7569095283548,9.6,1.6465452046971292,5.3,0.8232726023485646,5.3,0.8232726023485646,3.5999999999999996,0.5163977794943222,0.0,0.0,0.0,0.0,1.0,0.0
40000.0,1.672674,7.408905933714577E-8,40000.0,89.5725,60.083200353097645,41.98887343532683,-4.536340852130326,93.86084985502127,65.41172568206319,88.5448486531519,98.84711779448622,68.44559270830338,40000.0,272688.0,10.0,0.874872211657049,0.12512778834295085,7719.700000000001,61.70368258414111,21227.2,2091.010856021556,10.8,1.1352924243950933,5.9,0.5676462121975466,5.9,0.5676462121975466,4.1,0.316227766016838,0.0,0.0,0.0,0.0,1.0,0.0
45000.0,1.805385,8.371642219937512E-8,45000.0,89.7311111111111,60.39588414761654,42.58200795228626,-3.5170250896058337,93.9633437406106,65.64567690134562,88.72113676731794,98.90232974910394,68.48785777720418,45000.0,280416.0,10.0,0.9219709021943355,0.07802909780566436,8651.8,74.42789202383142,22000.0,2098.624311304908,10.8,1.1352924243950933,5.9,0.5676462121975466,5.9,0.5676462121975466,4.1,0.316227766016838,0.0,0.0,0.0,0.0,1.0,0.0
50000.0,2.151429,1.1759148277756243E-7,50000.0,81.74,21.83599290719426,-5.671296296296316,-91.40461215932905,89.46822009458991,31.40495867768595,85.7395533937652,43.81551362683438,56.91112962782402,50000.0,378400.0,10.0,0.9721019695216582,0.027898030478341777,9580.1,81.67612190162355,31332.0,2707.4514461635945,14.2,1.3984117975602022,7.6,0.6992058987801011,7.6,0.6992058987801011,4.200000000000001,0.4216370213557843,0.0,0.0,0.0,0.0,1.0,0.0
55000.0,2.324493,1.221875746837921E-7,55000.0,81.02000000000001,27.355800115005984,-9.33179723502304,-97.29729729729736,88.83135224196775,36.859614105123086,83.51405178136756,57.58835758835759,59.3932675834823,55000.0,102656.0,10.0,0.9320064977235151,0.0679935022764849,10514.600000000002,74.57464567651506,4808.8,3624.3275790137955,5.300000000000001,8.756584823878415,-2.2000000000000006,8.024961059095553,-2.2000000000000006,8.024961059095553,0.5,0.8498365855987975,0.0,0.0,0.0,0.0,1.0,0.0
60000.0,2.449607,1.2762084241542555E-7,60000.0,85.66,49.29723277449501,15.647058823529447,-54.19354838709679,91.4326681801888,56.03923973022684,84.36604189636164,98.27956989247312,67.57322172814368,60000.0,167864.0,10.0,0.8956928832671546,0.10430711673284528,11421.9,96.18668191479398,11057.6,5077.5109212640355,9.3,9.369572502995474,-0.20000000000000007,8.297255235585105,-0.20000000000000007,8.297255235585105,2.1,0.8755950357709131,0.0,0.0,0.0,0.0,1.0,0.0
65000.0,2.562563,1.3329104009601808E-7,65000.0,87.53999999999999,54.00645489506049,28.799999999999994,-31.01997896950588,92.61760872141248,60.0896860986547,86.37418499281688,98.63301787592007,68.00867644439512,65000.0,194040.0,10.0,0.9389261031323924,0.061073896867607606,12369.3,119.24955159477771,13620.800000000003,4555.194661043586,10.100000000000001,9.085397319019375,0.19999999999999996,8.20298048814508,0.19999999999999996,8.20298048814508,2.5,0.5270462766947299,0.0,0.0,0.0,0.0,1.0,0.0
70000.0,2.672252,1.3937362593495187E-7,70000.0,88.4,56.57047309331149,34.83146067415733,-18.60940695296523,93.14312736443884,62.37024221453288,87.32727407078991,98.29584185412406,68.12178724991624,70000.0,214352.0,10.0,0.977230912943409,0.022769087056590896,13373.699999999999,141.2492281198183,15584.0,5236.590578696113,11.1,9.32678341599551,0.7000000000000001,8.327331171776732,0.7000000000000001,8.327331171776732,2.8,0.6324555320336759,0.0,0.0,0.0,0.0,1.0,0.0
75000.0,2.78327,1.462304577065839E-7,75000.0,88.68,57.4223522119314,36.1534122955443,-15.04065040650398,93.314039336129,63.11502117953731,87.61645962732919,98.42479674796748,68.19847072612711,75000.0,238744.0,10.0,0.9607711962482604,0.03922880375173969,14348.099999999999,149.779430422798,17955.199999999997,6286.942744026438,12.100000000000001,9.859569519563777,1.2000000000000002,8.534895690308373,1.2000000000000002,8.534895690308373,3.0,0.816496580927726,0.0,0.0,0.0,0.0,1.0,0.0
80000.0,2.906931,1.549128664388425E-7,80000.0,88.872,58.02678705706642,37.56732495511665,-12.63157894736847,93.4306224615094,63.64349189754313,87.80736795383932,98.582995951417,68.26242815510894,80000.0,271400.0,10.0,0.9588089513289796,0.04119104867102031,15323.199999999999,144.88447505206068,21084.799999999996,6151.632065286958,14.1,9.6775800464556,2.2,8.482662055955993,2.2,8.482662055955993,3.8999999999999995,0.5676462121975467,0.0,0.0,0.0,0.0,1.0,0.0
85000.0,3.033282,1.6462459432995982E-7,85000.0,89.14,58.954847812940926,39.35219657483246,-8.600000000000053,93.59014716298103,64.47884866986482,88.0925925925926,98.56666666666666,68.31164967618247,85000.0,297112.0,10.0,0.9462609085648296,0.05373909143517033,16338.9,140.03051254796011,23588.0,5546.324668943691,15.1,9.279008567729637,2.7,8.313977521152088,2.7,8.313977521152088,4.2,0.4216370213557839,0.0,0.0,0.0,0.0,1.0,0.0
90000.0,3.151599,1.74159324483739E-7,90000.0,89.25428571428571,59.362827911277485,40.58451816745657,-7.089977220956632,93.65799369340505,64.84060951668692,88.1955030487805,98.74715261958997,68.36348726995473,90000.0,311504.0,10.0,0.9813757727339847,0.01862422726601523,17333.0,133.1657279900166,24999.999999999996,6051.052727510406,15.5,10.00277739208244,2.9000000000000004,8.659612513784255,2.9000000000000004,8.659612513784255,4.3,0.4830458915396479,0.0,0.0,0.0,0.0,1.0,0.0
