learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),F1 Score for class 0 (percent),F1 Score for class 1 (percent),Recall for class 0 (percent),Recall for class 1 (percent),GMean (percent),model training instances,model serialized size (bytes),tree size (nodes),tree size (leaves),active learning leaves,tree depth,active leaf byte size estimate,inactive leaf byte size estimate,byte size estimate overhead
5000.0,0.462044,2.202241230342123E-9,5000.0,93.14,78.33463451854884,78.09706257982121,66.56920077972711,95.72798605056668,82.59766615930998,96.7035732259688,79.33723196881091,66.34018487967526,5000.0,18424.0,9.0,5.0,5.0,4.0,0.0,0.0,1.0
10000.0,0.666036,3.7102789431810376E-9,10000.0,93.22,78.96972235566902,78.33865814696486,66.501976284585,95.75187969924812,83.21782178217822,95.7998996990973,83.05335968379447,66.868015407759,10000.0,28576.0,13.0,7.0,7.0,4.0,0.0,0.0,1.0
15000.0,0.793831,4.8557646179364785E-9,15000.0,93.54,80.18920231792465,79.71954792800335,68.05143422354107,95.9365957982136,84.25158459288153,95.58786663324142,85.45994065281899,67.277003367804,15000.0,34648.0,17.0,9.0,9.0,5.0,0.0,0.0,1.0
20000.0,0.928068,6.414043890933196E-9,20000.0,93.72,80.47448251160338,80.04448681283763,68.39456467035734,96.06836536655607,84.40526446486219,95.75065518532385,85.53095118268746,67.32042898853425,20000.0,44872.0,21.0,11.0,11.0,6.0,0.0,0.0,1.0
25000.0,1.05776,7.992839188211494E-9,25000.0,93.888,81.14624512171433,80.52759016184531,69.40328394072891,96.16331040024106,84.98132494594063,95.71628511446566,86.56387665198237,67.5055852812284,25000.0,47056.0,21.0,11.0,11.0,6.0,0.0,0.0,1.0
30000.0,1.202351,1.0074696120702557E-8,30000.0,93.94666666666667,81.41017955637318,80.87212976616811,69.8539176626826,96.19430822750324,85.21413450578082,95.72489155822488,86.86918990703852,67.56368874352246,30000.0,55656.0,27.0,14.0,14.0,7.0,0.0,0.0,1.0
35000.0,1.330971,1.218054647453957E-8,35000.0,93.90857142857143,81.23554845529587,80.73029645697758,69.56894090779333,96.17441234523596,85.0595655220743,95.7312281203115,86.62574935769341,67.51980773780478,35000.0,63288.0,29.0,15.0,15.0,8.0,0.0,0.0,1.0
40000.0,1.426422,1.3788965483092598E-8,40000.0,94.0175,81.5256461127346,81.10093192228716,70.0613036406856,96.24598007686879,85.27837588434328,95.84153466429218,86.71337420242713,67.55644100800443,40000.0,65136.0,29.0,15.0,15.0,8.0,0.0,0.0,1.0
45000.0,1.518149,1.5378485119177234E-8,45000.0,94.04,81.65273411567328,81.23163051084676,70.29242357111211,96.25607236584959,85.39533870616424,95.84398976982096,86.85201595037661,67.58254318242943,45000.0,66984.0,29.0,15.0,15.0,8.0,0.0,0.0,1.0
50000.0,1.612141,1.7189136673178938E-8,50000.0,94.05,81.61004090629122,81.20419509729592,70.17842822774661,96.26748635593752,85.34121704853412,95.85498700779532,86.80834001603849,67.57649869293203,50000.0,74464.0,33.0,17.0,17.0,10.0,0.0,0.0,1.0
55000.0,1.728327,1.7516401658455532E-8,55000.0,84.0,43.53356238002646,49.39911448450348,20.239282153539367,90.36840837948472,52.77449822904367,93.89542156617463,44.56630109670987,58.83487967670293,55000.0,10888.0,4.0,-16.0,-16.0,2.0,0.0,0.0,1.0
60000.0,1.814695,1.798918934332E-8,60000.0,85.67,51.6791576999414,55.13462742642455,28.953891918691134,91.25846397852742,60.2716939284724,93.69911061004635,53.891918691125426,60.74352420241432,60000.0,21160.0,10.0,-13.0,-13.0,4.0,0.0,0.0,1.0
65000.0,1.897905,1.8284016102552415E-8,65000.0,85.46000000000001,50.20400906815211,54.31503979891078,27.420965058236295,91.17039795959677,58.84129080958671,93.87244685285535,51.88019966722129,60.36403037407224,65000.0,13696.0,16.0,-10.0,-10.0,3.0,0.0,0.0,1.0
70000.0,1.971081,1.86695962647597E-8,70000.0,85.83,52.99356282172308,55.47525530243518,29.729729729729705,91.31261112132917,61.588506370290055,93.2798897726561,56.335234316885696,61.15863064391276,70000.0,20368.0,18.0,-9.0,-9.0,3.0,0.0,0.0,1.0
75000.0,2.057144,1.946453010249469E-8,75000.0,86.26,55.04922773029081,56.62878787878789,31.60095579450418,91.53920047291805,63.461333900648874,93.0123135448994,59.398645957785746,61.72741682240663,75000.0,35704.0,26.0,-5.0,-5.0,5.0,0.0,0.0,1.0
80000.0,2.142093,2.0354133440802495E-8,80000.0,86.70666666666666,56.74067215319617,57.90140399028818,33.32218692526334,91.79997532590369,64.91289811719162,92.93892335234605,61.678649055341914,62.172657255357834,80000.0,40480.0,28.0,-4.0,-4.0,6.0,0.0,0.0,1.0
