learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),F1 Score for class 0 (percent),F1 Score for class 1 (percent),Recall for class 0 (percent),Recall for class 1 (percent),GMean (percent),model training instances,model serialized size (bytes)
5000.0,0.35815,2.397617320012715E-7,5000.0,92.80000000000001,78.43598085977663,78.33935018050543,65.64885496183209,95.43263131184979,83.00283286118979,95.19109086307263,83.79408960915157,66.89267158520136,5000.0,2587720.0
10000.0,0.901987,9.668000278601217E-7,10000.0,93.17999999999999,79.55652527835649,79.25159720109521,66.82879377431905,95.67533291058972,83.87706855791961,94.97670905199547,86.24210014584347,67.30876785342288,10000.0,5167624.0
15000.0,1.495435,2.156927871130821E-6,15000.0,92.91333333333334,79.1982888769435,78.38112670327436,65.4982148653035,95.47177848775293,83.70881226053639,94.02584326229233,88.61129136924075,67.5716535670715,15000.0,7751992.0
20000.0,2.229163,4.11343688013446E-6,20000.0,92.935,79.23340672038704,78.01804604853764,64.93796526054592,95.48893784120295,83.71556989742999,93.6501972571858,90.10171173406103,67.77756062872999,20000.0,1.03074E7
25000.0,3.129331,7.113222366941886E-6,25000.0,92.972,79.38447471707286,78.10319042871386,64.96510468594217,95.50949472231453,83.84070633679757,93.4997998398719,90.86921850079744,67.89127674831822,25000.0,1.2881576E7
30000.0,4.335374,1.1932738557600728E-5,30000.0,92.97666666666666,79.51126540058539,78.04750989789538,65.1389808074123,95.50314800981752,83.97109166983645,93.40012523481528,91.29859387923904,67.95195345132734,30000.0,1.544696E7
35000.0,5.733338,1.846015865881617E-5,35000.0,92.99714285714286,79.55585025699502,78.09651474530831,65.24390243902438,95.51747471607015,84.00234971607597,93.44115647475579,91.23777116120799,67.94831264203029,35000.0,1.8048784E7
40000.0,7.288926,2.6763748208344396E-5,40000.0,93.1275,79.77715067409436,78.35944265134219,65.5729492798998,95.6141610427735,84.12909185381906,93.59967514212532,91.23466065614826,67.97689603796896,40000.0,2.0633536E7
45000.0,9.019217,3.713117755906449E-5,45000.0,93.19555555555556,79.91185861811267,78.57242827151855,65.80681183696258,95.66288951841359,84.21649484536083,93.68826989235379,91.21259490844128,67.98912868995953,45000.0,2.316084E7
50000.0,11.018545,5.0479857375986046E-5,50000.0,90.72,70.2177009040725,70.92731829573935,53.553553553553556,94.25030978934323,75.95854922279791,95.05123719070232,73.37337337337337,64.88925384146356,50000.0,2.5808136E7
55000.0,13.492766,6.857795624032617E-5,55000.0,87.16000000000001,58.95906639930823,59.46969696969698,34.52320244773079,92.03375108574265,66.9242658423493,92.26271924368703,66.24171341152473,62.949271770055404,55000.0,2.8274624E7
60000.0,16.040683,8.89498728110993E-5,60000.0,89.18,60.92203765930954,66.439205955335,45.35353535353536,93.5263850664114,67.0724284844796,97.45635910224439,55.65656565656566,61.86940373860291,60000.0,3.090644E7
65000.0,18.748523,1.12377715463897E-4,65000.0,89.39,61.20554305146304,66.78146524733877,45.81205311542391,93.67133909931405,67.20247295208655,97.63740363093758,55.515832482124615,61.87754764715999,65000.0,3.3443496E7
70000.0,21.630948,1.3920633706977385E-4,70000.0,88.78,60.15190293486564,65.21289789169079,43.37146702557204,93.25586054898818,66.6402378592666,96.74093781177253,56.56123822341858,61.90762797006341,70000.0,3.5978472E7
75000.0,24.704024,1.699572062429165E-4,75000.0,89.08500000000001,61.836039303250224,66.06559925384737,45.10937892884084,93.41060702103897,68.2287876582739,96.56743431317481,58.93889866733719,62.3510892006932,75000.0,3.868E7
80000.0,27.928582,2.0433587603636087E-4,80000.0,89.03999999999999,61.959748460308305,65.79275905118601,44.78033051189035,93.369149605537,68.42590458631021,96.27208304221978,59.8347440548166,62.47135885688665,80000.0,4.1211768E7
85000.0,31.37718,2.4335672720299E-4,85000.0,88.88666666666667,61.77592170913865,65.32861896838604,44.144747863963815,93.258926766145,68.3741225573895,95.96770837668012,60.37862288490534,62.51926328372429,85000.0,4.373776E7
90000.0,35.071909,2.87711606518173E-4,90000.0,88.93714285714286,62.01003684062102,65.5577299412916,44.28776978417269,93.28617006519627,68.59182349123947,95.90017825311944,60.834532374100725,62.596867059626106,90000.0,4.6404616E7
95000.0,38.869841,3.3578828370644197E-4,95000.0,88.99249999999999,62.22855505624747,65.53154845780492,44.30812041487476,93.31775204504407,68.7929690268623,95.79360628154795,61.38375917025044,62.685198701886236,95000.0,4.8931624E7
100000.0,42.960124,3.902402471303361E-4,100000.0,89.03777777777778,62.391416938119036,65.4696906061879,44.25988700564974,93.3443069741085,68.9416357111377,95.69017980636238,61.86440677966102,62.76037495626189,100000.0,5.1459144E7
