learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),F1 Score for class 0 (percent),F1 Score for class 1 (percent),Recall for class 0 (percent),Recall for class 1 (percent),GMean (percent),model training instances,model serialized size (bytes)
5000.0,0.342534,2.2971317535887162E-7,5000.0,93.12,79.14767326828701,79.1008505467801,66.82738669238188,95.6543708943911,83.4932821497121,95.60606060606061,83.65384615384616,66.94398904306247,5000.0,2592296.0
10000.0,0.875632,9.443598275590273E-7,10000.0,93.32000000000001,79.75767390218715,79.04642409033877,67.01234567901237,95.78069732187974,83.97312859884836,95.10787757150025,86.29191321499013,67.34236979541379,10000.0,5181872.0
15000.0,1.321233,1.8390684323592317E-6,15000.0,93.46,80.30506365580098,79.46839681875261,67.50579662139782,95.86023547284466,84.43598286530224,94.8238437134747,88.05426869622767,67.61621706545375,15000.0,7761360.0
20000.0,1.822367,3.176175429179436E-6,20000.0,93.265,79.60918667448995,78.55095541401272,66.0020191822312,95.7452857007486,83.85085721136555,94.51824134705332,88.19672131147541,67.58604934794768,20000.0,1.0313704E7
25000.0,2.451139,5.272920483114818E-6,25000.0,93.348,79.76155879078537,78.79908210096889,66.38366686880936,95.80484851542595,83.94632686552755,94.70822942643392,87.83838383838383,67.55490605145154,25000.0,1.2890056E7
30000.0,3.324102,8.763108010689416E-6,30000.0,93.37,79.90096927651452,79.03004744333157,66.80020030045067,95.81324857389436,84.07908428720083,94.80546530034158,87.62095428762096,67.53266239160916,30000.0,1.5454512E7
35000.0,4.295136,1.3298651821091768E-5,35000.0,93.41428571428571,80.04311804631608,79.19862828264598,67.0431798684587,95.84062652254724,84.19392443255845,94.83269649680392,87.73760182935544,67.55928846690131,35000.0,1.8054992E7
40000.0,5.391952,1.9156680731516743E-5,40000.0,93.405,79.96050190616991,79.17587622355543,66.95891783567136,95.83872290753068,84.11417559918102,94.89269984068972,87.44209340177788,67.51570062631129,40000.0,2.0645248E7
45000.0,6.461381,2.5567046601619157E-5,45000.0,93.44444444444444,80.02449323659134,79.24581398621076,67.0979254963194,95.86765282680562,84.15001074575542,94.97099719685826,87.31185193444085,67.50608289837649,45000.0,2.3170384E7
50000.0,7.862944,3.4906902948824896E-5,50000.0,88.14,59.489510447470806,62.42078580481621,39.79695431472078,92.790273556231,66.59154929577464,95.06726457399103,59.93914807302231,62.250785667133016,50000.0,2.5759056E7
55000.0,9.698623,4.834430661611466E-5,55000.0,87.28,57.564614546583236,59.97482693517936,35.919395465994974,92.21351616062682,65.28384279475983,93.98552533067132,60.22155085599194,62.090070902412265,55000.0,2.8295736E7
60000.0,11.384226,6.182472959932354E-5,60000.0,90.58,71.7042341519681,71.3154689403167,54.04878048780489,94.0311747560512,77.66714082503556,93.33333333333333,79.90243902439025,65.80953053276623,60000.0,3.0913672E7
65000.0,13.309277,7.848029309229718E-5,65000.0,92.01,75.77034238962528,74.96867167919801,60.169491525423744,94.95485256045968,80.8071102570262,94.05804353264948,83.84845463609173,66.69079737278997,65000.0,3.3444096E7
70000.0,15.246815,9.651154848055707E-5,70000.0,92.41333333333334,77.08961993088715,76.35570330355289,62.36772486772488,95.20236087689713,81.87898089171975,94.28022712090849,85.01984126984127,66.9514877337968,70000.0,3.597312E7
75000.0,17.355398,1.1760614471915902E-4,75000.0,92.635,77.79803202841128,77.01669527227337,63.49442379182156,95.33963995317494,82.44966043131181,94.37519574068274,85.74969021065675,67.10530641300647,75000.0,3.8670776E7
80000.0,19.415689,1.3956634582223992E-4,80000.0,92.656,77.92429780966809,77.15281234444998,63.73691487260521,95.34813013073884,82.56741359665781,94.37728845864473,85.87793798143393,67.12958111743262,80000.0,4.1201224E7
85000.0,21.675262,1.6512549276928728E-4,85000.0,92.78666666666666,78.38080285625958,77.70910589204777,64.6058227019954,95.425914183048,82.9472025216706,94.50305618353848,86.08112528622833,67.19080693624812,85000.0,4.3724248E7
90000.0,24.163422,1.949870336494243E-4,90000.0,92.94857142857143,78.6539689000831,78.08559758479842,65.0177179305457,95.5446438242409,83.10283445159524,94.69672571121846,86.02409638554217,67.21622239027582,90000.0,4.6391272E7
95000.0,26.453214,2.2396624106182613E-4,95000.0,92.99,78.6249963256948,78.21120522185095,65.14172053704621,95.58202558769774,83.03895475441568,94.91801226686695,85.33068125310791,67.1283646307533,95000.0,4.892072E7
100000.0,28.816215,2.5541563913889436E-4,100000.0,93.15777777777777,79.08268806119513,78.75526116056025,65.98917485916267,95.69159728538446,83.38818451578095,95.12059420813976,85.36396774549873,67.17227142832795,100000.0,5.1445904E7
