learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),F1 Score for class 0 (percent),F1 Score for class 1 (percent),Recall for class 0 (percent),Recall for class 1 (percent),GMean (percent),model training instances,model serialized size (bytes),ensemble size,size of class 0,size of class 1
5000.0,1.027776,1.1125324527422587E-7,5000.0,92.02,78.05224511780719,74.7308423052565,60.728346456692925,94.77269749770733,83.14321926489228,90.78815261044177,96.8503937007874,68.49060999714288,5000.0,418424.0,10.0,0.8085665326280329,0.19143346737196693
10000.0,1.853033,2.6178912486053176E-7,10000.0,92.27,78.75287921850175,75.56890012642225,61.73267326732671,94.93612839829674,83.67476240760294,90.80200501253132,98.06930693069307,68.71522974261681,10000.0,705104.0,10.0,0.6552140036679124,0.3447859963320877
15000.0,2.584502,4.2556827742399443E-7,15000.0,92.42666666666666,79.21495114427915,76.34319033735945,62.59466578860719,95.0353990035836,84.04046080359653,90.88857310039288,98.48534738228516,68.80659860846887,15000.0,865496.0,10.0,0.7661204611940444,0.23387953880595552
20000.0,3.328302,6.232391303963959E-7,20000.0,92.33,78.90847885749622,76.02750429754649,61.76470588235294,94.9774081592561,83.78092620004229,90.71803852889667,98.75373878364904,68.82437382798075,20000.0,1027280.0,10.0,0.6477735202347825,0.3522264797652174
25000.0,4.127109,8.66258507973204E-7,25000.0,92.352,78.92690640540663,75.96178023635906,61.675686510322706,94.99659810540639,83.77736297301882,90.70511218829644,98.95770695530166,68.85906242892037,25000.0,1175984.0,10.0,0.7277632008195027,0.27223679918049737
30000.0,4.946987,1.1457033949366047E-6,30000.0,92.36333333333333,78.99591103287675,76.05560200668894,61.81666666666664,95.00010912027237,83.84230199590944,90.6875,99.06666666666666,68.87564276772062,30000.0,1317496.0,10.0,0.7877660099428896,0.21223399005711036
35000.0,5.702383,1.4356823020035195E-6,35000.0,92.42571428571429,79.17824652528842,76.2667860340197,62.21493728620299,95.039574874165,83.98864528598176,90.75185820468839,99.10205245153934,68.89374257801425,35000.0,1483864.0,10.0,0.8083379882303777,0.19166201176962233
40000.0,6.237584,1.6558464660060903E-6,40000.0,92.4625,79.22041431709457,76.27478753541077,62.232243517474636,95.06990434142752,84.0010612894667,90.79551488271855,99.14818990354503,68.91003279390156,40000.0,1590128.0,10.0,0.7724116764727142,0.2275883235272859
45000.0,6.692259,1.8540187588851486E-6,45000.0,92.51555555555555,79.36758517487209,76.5001395478649,62.53615127919909,95.10436653293797,84.11620448971891,90.84698694806998,99.19911012235818,68.92860383585834,45000.0,1684784.0,10.0,0.8003172018954122,0.1996827981045877
50000.0,7.137964,2.0594880800031953E-6,50000.0,92.596,79.55931951293907,76.70819177047943,62.91324383891005,95.1598985435243,84.25618780301097,90.93907741516317,99.23862953315968,68.9524667702909,50000.0,1781976.0,10.0,0.821271081474245,0.17872891852575493
55000.0,7.851104,2.132782198877798E-6,55000.0,76.72,40.01297451334753,26.14213197969544,-21.123829344432863,84.3716433941998,54.38871473354232,77.79153255756376,72.21644120707596,61.23887118584073,55000.0,397280.0,10.0,0.7781582265857904,0.22184177341420963
60000.0,8.246696,2.203185523243414E-6,60000.0,77.7,45.574839038196615,28.980891719745216,-15.3050672182006,84.66088870546153,59.17246429879165,76.29556161666254,83.55739400206825,63.21648432543737,60000.0,687936.0,10.0,0.8215669720727076,0.17843302792729246
65000.0,8.67943,2.3092259194577734E-6,65000.0,79.94,51.32436549878793,37.02385935537882,-1.2108980827446807,86.14066602183226,63.698878031125595,77.7500623596907,88.7991927346115,64.52698177783891,65000.0,947224.0,10.0,0.7932079530248989,0.20679204697510115
70000.0,9.098791,2.437074553469817E-6,70000.0,81.26,54.105626977074905,40.827281338806436,4.363357999489639,87.1185042617542,65.62729273661041,78.81350662272246,91.29880071446797,65.21355444560403,70000.0,1178448.0,10.0,0.8468577431896163,0.1531422568103837
75000.0,9.519031,2.5841121643781664E-6,75000.0,82.124,56.16782786908075,43.9272271016311,9.497772377480759,87.71273817052048,67.20962653166043,79.50852357691157,92.75010125556906,65.62366662121232,75000.0,1352488.0,10.0,0.9015003753464839,0.09849962465351603
80000.0,9.964636,2.7661772288692496E-6,80000.0,82.77666666666667,57.70177008800815,46.053455836291505,13.218004702720856,88.16618189313607,68.37240619452776,80.04657739332946,93.8024857238831,65.92591734614174,80000.0,1579352.0,10.0,0.84633295850476,0.15366704149524027
85000.0,10.425728,2.9761299812938607E-6,85000.0,83.28285714285715,58.858931568552244,47.61862130707254,15.982194141298129,88.52317530060219,69.23602713076399,80.485803966329,94.5433658816772,66.1492951300326,85000.0,1760096.0,10.0,0.8815363161304749,0.11846368386952513
90000.0,10.900152,3.2135492439712917E-6,90000.0,83.77250000000001,59.94182523644647,49.304904717275875,18.557089084065286,88.87403369842819,70.03093402280807,80.93974399000936,95.15683814303638,66.35069369137103,90000.0,1934424.0,10.0,0.9504012741572876,0.04959872584271243
95000.0,11.399895,3.4865988491247927E-6,95000.0,84.08,60.63530788695013,50.394682176983785,20.17827298050138,89.09257003654079,70.54276315789474,81.21582234559334,95.57660167130919,66.48165611973398,95000.0,2112016.0,10.0,0.6115055580367794,0.3884944419632205
100000.0,11.891951,3.7775254987449284E-6,100000.0,84.402,61.287040479255296,51.29886349444236,21.594450588117017,89.33324215277304,70.99125906639391,81.53696352333158,95.93847391173217,66.60995372972866,100000.0,2285448.0,10.0,0.7921904586550172,0.20780954134498278
