learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),F1 Score for class 0 (percent),F1 Score for class 1 (percent),Recall for class 0 (percent),Recall for class 1 (percent),GMean (percent),model training instances,model serialized size (bytes),tree size (nodes),tree size (leaves),active learning leaves,tree depth,active leaf byte size estimate,inactive leaf byte size estimate,byte size estimate overhead
5000.0,0.382088,1.892316225502226E-9,5000.0,91.38,80.05571443114825,79.19884169884168,71.32401862940783,93.70527238206513,86.33047890897558,91.73577352016014,90.55222887558216,67.50703711387101,5000.0,19144.0,9.0,5.0,5.0,4.0,0.0,0.0,1.0
10000.0,0.615488,3.77716162138515E-9,10000.0,92.30000000000001,82.52727888872768,81.63606010016696,74.94305239179955,94.28189514332394,88.21548821548822,91.64140320485058,93.78457533355028,68.08560393695588,10000.0,31216.0,15.0,8.0,8.0,5.0,0.0,0.0,1.0
15000.0,0.745421,4.9280967646174955E-9,15000.0,92.56,83.07039827990391,82.38080202083991,75.43473475676863,94.49160908193484,88.54209445585217,91.53676962800039,94.91525423728814,68.273718198383,15000.0,34240.0,15.0,8.0,8.0,5.0,0.0,0.0,1.0
20000.0,0.900127,6.653869243131743E-9,20000.0,92.61500000000001,83.05897902327686,82.44174988112222,75.39973351099269,94.57045178840569,88.45823239821833,91.90482995141468,94.27048634243837,68.22303795160639,20000.0,43120.0,19.0,10.0,10.0,7.0,0.0,0.0,1.0
25000.0,1.059484,8.607640928692288E-9,25000.0,92.784,83.46289962031405,82.83212790255044,76.04249667994688,94.68974449546685,88.74469678063389,92.06639954207212,94.44887118193891,68.28529686616494,25000.0,47392.0,21.0,11.0,11.0,8.0,0.0,0.0,1.0
30000.0,1.212049,1.0719688644425736E-8,30000.0,92.78,83.53292903303655,82.85578597435492,76.22914837576819,94.66397319668901,88.83965375103048,91.9810417464573,94.6115013169447,68.2994405290779,30000.0,53512.0,23.0,12.0,12.0,9.0,0.0,0.0,1.0
35000.0,1.343197,1.267448898197876E-8,35000.0,92.86,83.72339775315932,83.04843304843304,76.52639489009955,94.72060842928065,88.97418927862344,92.05058717253839,94.71162878076272,68.33048659882738,35000.0,57616.0,25.0,13.0,13.0,10.0,0.0,0.0,1.0
40000.0,1.461407,1.462873794345392E-8,40000.0,92.9175,83.82563354702222,83.15294957183634,76.65622940013182,94.77142277097983,89.02661037301003,92.14398507034166,94.69347396176666,68.34424976399043,40000.0,63904.0,27.0,14.0,14.0,11.0,0.0,0.0,1.0
45000.0,1.571301,1.6543077286332847E-8,45000.0,92.96444444444445,83.92740333328125,83.27345731191886,76.80076207225032,94.80762292124511,89.09253772479846,92.1889452365005,94.74609804352605,68.36209535993366,45000.0,67336.0,29.0,15.0,15.0,11.0,0.0,0.0,1.0
50000.0,1.741042,1.749579460049669E-8,50000.0,85.58,65.39506073766788,66.32414759458197,52.75229357798166,89.76288513417579,75.61717957389247,90.9902130109384,73.26343381389253,64.08073946686925,50000.0,21696.0,45.0,23.0,23.0,3.0,0.0,0.0,1.0
55000.0,1.821015,1.797048467521866E-8,55000.0,85.52,64.56705244859286,64.81166464155528,50.94850948509484,89.85852360274548,74.69416288011186,91.01872871736663,72.39159891598916,63.916024523071634,55000.0,22944.0,57.0,29.0,29.0,4.0,0.0,0.0,1.0
