learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),F1 Score for class 0 (percent),F1 Score for class 1 (percent),Recall for class 0 (percent),Recall for class 1 (percent),GMean (percent),model training instances,model serialized size (bytes),ensemble size,size of class 0,size of class 1,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
5000.0,0.544637,3.9905689886460707E-8,5000.0,92.10000000000001,82.42575482050424,81.1904761904762,74.5817245817246,94.0269166792681,88.33776203129614,90.22054556006964,96.26769626769627,68.28034889845063,5000.0,283224.0,10.0,0.55961704333875,0.44038295666124994,6301.400000000001,70.13035481634664,22192.8,4135.430779656858,11.6,2.6749870196985173,6.3,1.3374935098492586,6.3,1.3374935098492586,4.5,0.5270462766947298,0.0,0.0,0.0,0.0,1.0,0.0
10000.0,1.06826,1.0434208498025933E-7,10000.0,92.4,83.00232219590316,81.51750972762648,75.18772445315052,94.28657344760187,88.65332935204539,90.39930805823843,96.93111328762652,68.43435199990297,10000.0,475680.0,10.0,0.7143339764522129,0.2856660235477873,12677.6,68.02973206212442,40732.8,6559.517814257048,22.0,4.737556801183965,11.5,2.3687784005919825,11.5,2.3687784005919825,6.6,1.1737877907772674,0.0,0.0,0.0,0.0,1.0,0.0
15000.0,1.523586,1.728609537022809E-7,15000.0,92.93333333333334,84.0777317525198,83.09409888357257,76.67253521126761,94.72479347068777,89.29941449626489,91.0195103289977,97.33714788732394,68.6215451254782,15000.0,581688.0,10.0,0.7954470306794024,0.2045529693205977,19126.800000000003,90.52660750666995,51001.6,4964.287465935516,27.0,3.7712361663282543,14.0,1.8856180831641272,14.0,1.8856180831641272,7.800000000000001,0.9189365834726814,0.0,0.0,0.0,0.0,1.0,0.0
20000.0,2.131062,2.841087211606403E-7,20000.0,92.985,84.11339795394606,83.1855225311601,76.59716430358631,94.78884225383503,89.27123958094366,91.11031774366299,97.36447039199334,68.64306012548835,20000.0,707888.0,10.0,0.690493891543047,0.30950610845695303,25565.600000000006,93.92928782393233,63273.6,8288.1027878654,32.0,4.737556801183965,16.5,2.3687784005919825,16.5,2.3687784005919825,9.2,0.9189365834726816,0.0,0.0,0.0,0.0,1.0,0.0
25000.0,2.607131,3.8476541332486605E-7,25000.0,93.016,84.20519453338345,83.23893635403667,76.7013610888711,94.80604474059972,89.34326171874999,91.02593396549754,97.66479850547104,68.68237264228874,25000.0,817288.0,10.0,0.622681867402366,0.37731813259763397,31916.399999999998,102.16892330297367,73858.40000000001,9384.522520263528,37.2,5.533734925185902,19.1,2.766867462592951,19.1,2.766867462592951,10.8,1.3165611772087666,0.0,0.0,0.0,0.0,1.0,0.0
30000.0,2.991477,4.7465702578839333E-7,30000.0,93.12,84.50485194325974,83.56164383561644,77.26872246696036,94.8626045400239,89.58837772397095,91.08986615678776,97.79735682819384,68.71812406217548,30000.0,904064.0,10.0,0.6909300364200017,0.3090699635799984,38180.0,136.29135458030078,82238.4,9605.396853389824,41.6,5.168279318217148,21.3,2.584139659108574,21.3,2.584139659108574,11.399999999999999,1.264911064067352,0.0,0.0,0.0,0.0,1.0,0.0
35000.0,3.346062,5.659121494843728E-7,35000.0,93.26285714285714,84.79567750525517,83.85815991237679,77.66410912190965,94.97891912610196,89.76473652226755,91.24084604999386,97.94449180638439,68.77233052914127,35000.0,994808.0,10.0,0.6660671661665327,0.3339328338334674,44598.799999999996,135.04468396300118,91068.0,10047.575539513113,45.2,5.370702416299422,23.1,2.685351208149711,23.1,2.685351208149711,12.200000000000001,1.6865480854231356,0.0,0.0,0.0,0.0,1.0,0.0
40000.0,3.707012,6.648823956751989E-7,40000.0,93.35,84.98278507777516,84.04031919361613,77.92164674634793,95.04692387904068,89.88439306358381,91.30652547223812,98.09096945551128,68.81088121215811,40000.0,1059888.0,10.0,0.6014951624222914,0.3985048375777085,50954.5,165.9030841585941,97363.20000000001,10868.008555184133,48.4,6.040603354706291,24.7,3.0203016773531455,24.7,3.0203016773531455,12.5,1.9578900207451218,0.0,0.0,0.0,0.0,1.0,0.0
45000.0,4.114613,7.851219683492349E-7,45000.0,93.39333333333333,85.07411112993158,84.15414134953629,78.02985515814365,95.08147903052362,89.94078836068347,91.31816448455574,98.2190363582619,68.8362551354331,45000.0,1140288.0,10.0,0.6685875320839108,0.3314124679160892,57332.0,153.93144217114613,105165.6,10457.195239004895,51.8,5.181162460726786,26.4,2.590581230363393,26.4,2.590581230363393,12.7,2.110818693198342,0.0,0.0,0.0,0.0,1.0,0.0
50000.0,4.649133,9.59988430765354E-7,50000.0,92.0,81.6843510362628,80.85208233604597,73.92438070404172,94.10377358490567,87.56218905472636,92.09463358338142,91.78617992177314,67.80132991047347,50000.0,1264576.0,10.0,0.5318680693575453,0.46813193064245484,63669.700000000004,175.44612975054264,117035.2,12455.560800078192,66.20000000000002,5.006662228138288,33.60000000000001,2.503331114069144,33.60000000000001,2.503331114069144,13.7,2.0027758514399734,0.0,0.0,0.0,0.0,1.0,0.0
